,Year,Site,Group.1,Group.2,ActivityStartDate,Day.x,Month.x,Chlorophyll.a..corrected.for.pheophytin,Weight,Temperature..water,pH,Specific.conductance,Turbidity,Dissolved.oxygen..DO.,Dissolved.oxygen.saturation,Oxidation.reduction.potential..ORP.,Ammonia,Nitrate...Nitrite,Orthophosphate,Total.dissolved.solids,Total.Nitrogen..mixed.forms,Total.Phosphorus..mixed.forms,Q_CFS,Days_Since_Peak_Discharge,...1,agency_cd,datetime,Day.y,Month.y,STAT
69,2008,BN,8-Aug,Clark Fork River at Bonita,8/10/2008,10,8,112.75,103.72,16.76666667,8.626666667,491,3.263333333,8.533333333,87.9,-63.93333333,,0.007333333,,260.6666667,0.207333333,0.015,3100,65,54,USGS,6/6/2008,6,6,A
181,2016,BM,16-Jul,Clark Fork River below Missoula,7/13/2016,13,7,240.7071905,70.22975,16.75,8.34,244.85,1.63,7.395,76.05,51.9,0.0079,0.0113,0.001666667,159.25,0.1635,0.01385,16800,65,116,USGS,5/9/2016,9,5,A
261,2021,BM,21-Aug,Clark Fork River below Missoula,8/9/2021,9,8,59.19047619,14.04761905,16.4,8.335,298.7,4.49,8.365,,,0.01,0.015,,,0.16,0.007,28200,65,121,USGS,6/5/2021,5,6,A
273,2021,HU,21-Aug,Clark Fork River at Huson,8/9/2021,9,8,62.95238095,16.19047619,17.2,8.08,274.95,3.945,8.325,,,0.02,0.01,,,0.15,0.015,28200,65,148,USGS,6/5/2021,5,6,A
275,2021,MS,21-Aug,Clark Fork River above Missoula,8/9/2021,9,8,196.8571429,45.19047619,18.6,8.53,307.45,4.785,10.36,,,0,,,,0.12,0.015,13500,65,94,USGS,6/5/2021,5,6,A
85,2009,DL,9-Aug,Clark Fork River at Deer Lodge,8/6/2009,6,8,181.047619,51.1,19.5,8.766666667,409,3.546666667,9.416666667,,-76.36666667,0.00959,0.068873333,0.01137,217,0.335,0.029223333,1140,66,13,USGS,6/1/2009,1,6,A
71,2008,DL,8-Aug,Clark Fork River at Deer Lodge,8/11/2008,11,8,172.0714286,79.77142857,16.03333333,8.853333333,457.3333333,2.09,9.266666667,96.86666667,-73.5,0.01,0.056,,242.6666667,0.289333333,0.018,957,67,12,USGS,6/5/2008,5,6,A
89,2009,GR,9-Aug,Clark Fork River above Little Blackfoot,8/7/2009,7,8,102.2047619,95.22,19.36666667,8.603333333,429.3333333,2.81,8.983333333,,-68.6,0.007573333,0.014306667,0.01594,228,0.262,0.035736667,1420,67,28,USGS,6/1/2009,1,6,A
81,2009,BM,9-Aug,Clark Fork River below Missoula,8/8/2009,8,8,38,10.75,17.2,8.386666667,277.3333333,3.52,8.076666667,,-57.96666667,0.00828,0.04478,0.00531,146.9666667,0.228333333,0.019833333,35300,68,109,USGS,6/1/2009,1,6,A
91,2009,HU,9-Aug,Clark Fork River at Huson,8/8/2009,8,8,39.19047619,9.6,19.36666667,8.473333333,257,3.116666667,8.176666667,,-62.36666667,0.010926667,0.048613333,0.00517,136.6333333,0.263666667,0.016753333,35300,68,136,USGS,6/1/2009,1,6,A
140,2013,BN,13-Aug,Clark Fork River at Bonita,8/7/2013,7,8,111.952381,60.61904762,17.55,8.315,507.5,2.455,8.895,,-446.95,0.010305,0.00236,0.00663,329.9,0.213695,0.014075,1080,68,59,USGS,5/31/2013,31,5,A
148,2013,GR,13-Aug,Clark Fork River above Little Blackfoot,8/7/2013,7,8,196.8888889,107.0740741,16.55,8.385,486.6,1.52,11.665,,-426.7,0.007526667,0.001373333,0.016336667,316.2,0.26929,0.027523333,394,69,32,USGS,5/30/2013,30,5,A
87,2009,FH,9-Aug,Clark Fork River above Flathead,8/10/2009,10,8,23.04761905,7.6,20.43333333,8.676666667,236,1.3,8.68,,-75.26666667,0.005888,0.0074625,0.0034775,125.3333333,0.13825,0.0096475,42500,70,163,USGS,6/1/2009,1,6,A
143,2013,DL,13-Aug,Clark Fork River at Deer Lodge,8/8/2013,8,8,331.4482759,110.5714286,17,8.255,500.25,2.805,10.925,,-424.25,0.018316667,0.178586667,0.008593333,325.3,0.502916667,0.019136667,349,70,17,USGS,5/30/2013,30,5,A
83,2009,BN,9-Aug,Clark Fork River at Bonita,8/7/2009,7,8,144.8571429,111.7,18.9,8.46,430.3333333,5.643333333,8.5,,-59.86666667,0.00759,0.00903,0.011213333,228.6666667,0.261,0.036396667,3700,73,55,USGS,5/26/2009,26,5,A
145,2013,FH,13-Jul,Clark Fork River above Flathead,7/27/2013,27,7,14.23842857,8.823529412,20.8,8.453333333,211.6666667,1.083333333,9.21,,-437.5666667,,0.011606667,0.003883333,137.5666667,0.154586667,0.008866667,32700,73,167,USGS,5/15/2013,15,5,A
150,2013,HU,13-Jul,Clark Fork River at Huson,7/27/2013,27,7,9.333666667,5.285714286,19.83333333,8.34,242.2333333,2.766666667,8.696666667,,-431.3,0.012973333,0.04542,0.0038325,157.5666667,0.192618,0.01536,25600,73,140,USGS,5/15/2013,15,5,A
263,2021,BN,21-Aug,Clark Fork River at Bonita,8/8/2021,8,8,185,96.42857143,19.9,8.655,513.45,4.595,10.985,,,0,,,,0.2,0.019,1650,73,67,USGS,5/27/2021,27,5,A
93,2009,MS,9-Aug,Clark Fork River above Missoula,8/8/2009,8,8,116.952381,33.7,18.06666667,7.993333333,286.3333333,2.47,8.41,,-36.3,0.0074225,0.00652,0.00538,152.2333333,0.161,0.01646,17300,74,82,USGS,5/26/2009,26,5,A
187,2016,FH,16-Jul,Clark Fork River above Flathead,7/24/2016,24,7,8.000285714,5.525,18.8,8.345,192.05,0.86,8.415,90.3,162.35,0.0211,0.0096,0.0012,124.8,0.1335,0.0087,20800,75,170,USGS,5/10/2016,10,5,A
191,2016,HU,16-Jul,Clark Fork River at Huson,7/24/2016,24,7,33.00017647,15.7,19.65,8.355,209.4,1.37,9.35,102.75,154.7,0.015533333,0.028333333,0.00215,136.15,0.2005,0.009933333,16800,76,143,USGS,5/9/2016,9,5,A
219,2018,DL,18-Sep,Clark Fork River at Deer Lodge,9/6/2018,6,9,74.23333333,28.5952381,11.45,8.16,441.9,2.74,9.695,88.85,64.05,0.014633333,0.13,0.00465,287.35,0.394,0.027633333,2180,76,22,USGS,6/22/2018,22,6,A
251,2020,FH,20-Aug,Clark Fork River above Flathead,8/6/2020,6,8,16.75333333,8.275714286,18.7,8.24,241.35,1.18,8.485,,,,0.008,0.003,,0.12,0.006,42900,76,174,USGS,5/22/2020,22,5,A
