"","Year","agency_cd","site_no","datetime","Day","Q_CFS","STAT"
"300",10110,"USGS","DL","5/31/2022",31,284,"A"
"301",12132,"USGS","DL","6/12/2022",12,856,"A:e"
"302",14154,"USGS","DL","7/4/2022",4,304,"A:e"
"303",16176,"USGS","DL","8/26/2022",26,91.5,"A"
"304",18198,"USGS","DL","9/30/2022",30,133,"A"
"305",20220,"USGS","DL","10/26/2022",26,212,"A"
"306",22242,"USGS","DL","11/5/2022",5,215,"A"
"307",24264,"USGS","DL","12/27/2022",27,267,"A:e"
"308",2023,"USGS","DL","1/1/2023",1,206,"A:e"
"309",4046,"USGS","DL","2/4/2023",4,188,"A"
"310",6069,"USGS","DL","3/31/2023",31,202,"P"
"311",8092,"USGS","DL","4/12/2023",12,360,"P"
"312",10115,"USGS","DL","5/28/2023",28,891,"P"
"313",12138,"USGS","DL","6/1/2023",1,851,"P"
