,Site,date_yearmon,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
78,DL,Jun-08,18,7,2008,23.9,31.4,0.054,0.295,11.4,70.1,1040,17.3,0.162,9.07,160,23.9,4,54.6,NA,NA
79,DL,Jul-08,10,8,2008,17.4,21.6,0.058,0.144,6.9,29.2,410,15.6,0.077,3.3,93.7,37.2,5.6,24.3,NA,NA
80,DL,Jul-08,24,8,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,DL,Aug-08,19,9,2008,17.6,19.2,0.03,0.024,6.9,11,54.3,4,0.052,0.55,21.5,4.05,3.5,6.1,NA,NA
82,DL,Sep-08,3,10,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,DL,Jun-09,2,7,2009,21.7,37.8,0.117,0.549,18.8,129,1680,32.7,0.318,17.1,207,29.9,19.2,109,NA,NA
84,DL,Jun-09,3,7,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,DL,Jun-09,23,7,2009,17.2,24.4,0.076,0.236,12,65.6,922,27.4,0.189,8.43,110,21.9,9.4,49.2,NA,NA
86,DL,Jul-09,14,8,2009,16.1,21.1,0.059,0.225,9,47.1,663,21.9,0.137,5.51,101,20.1,5.9,33.9,NA,NA
87,DL,Jul-09,15,8,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,DL,Aug-09,18,9,2009,19.4,21.2,0.051,0.129,6.8,24.2,334,9.6,0.089,3.09,75.5,21.8,6.9,18.8,NA,NA
89,DL,Aug-09,19,9,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,DL,Aug-09,19,9,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,DL,Jun-10,2,7,2010,15.5,33.2,0.082,0.513,10.1,142,2420,14.7,0.144,25.9,275,24.7,5.7,109,NA,NA
92,DL,Jun-10,15,7,2010,17.4,30.8,0.093,0.383,11.1,148,1610,20.6,0.19,31.8,232,20.2,4.6,75.4,NA,NA
93,DL,Jun-10,17,7,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,DL,Jul-10,1,8,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
