,Year,Site,day,month,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TP_mg_L,TN_mg_L,TURBIDITY,...1,datetime.x,Day,Month,Q_CFS.x,Q_CFS.x,Q_CFS.y,anomaly,date_column,Days_Since_Freshet,AFDM,CHLa
87,2009,GR,1,8,8/7/2009,0.006436667,0.012704583,0.018618,8.491666667,385,18.5,204.6166667,0.041574583,0.293625,4.585,109,6/1/2009,1,6,1420,3.152288344,270,1.739034482,8/1/2009,67.66666667,95.22,102.2047619
233,2019,GR,1,7,7/16/2019,0.0137,,0.046,8.735,378.15,19.4,245.705,0.053,0.23,4.03,119,5/18/2019,18,5,1420,3.152288344,270,1.739034482,7/1/2019,59.5,47.52297297,34.06780522
234,2019,GR,1,8,8/21/2019,0.02185,0.074,0.038,8.6925,411.025,19.55,266.9925,0.04525,0.27,3.315,119,5/18/2019,18,5,1420,3.152288344,270,1.739034482,8/1/2019,95.75,54.61052632,141.5947368
106,2010,DL,1,8,8/6/2010,0.0093,0.0407375,0.027645833,8.353333333,337,19.28333333,179.05,0.061816667,0.299916667,5.79,68,6/17/2010,17,6,1470,3.167317335,266,1.767984959,8/1/2010,50,39.375,54.86842105
107,2010,DL,1,9,9/9/2010,0.007783333,0.058666667,0.026916667,8.458333333,400.3333333,17.4,212.6833333,0.058316667,0.321166667,5.613333333,68,6/17/2010,17,6,1470,3.167317335,266,1.767984959,9/1/2010,84,46,155.67
173,2015,BN,1,7,7/8/2015,0.00755,0.002333333,0.00245,8.24,395,19.15,256.75,0.01,0.245333333,1.245,46,6/3/2015,3,6,1500,3.176091259,2830,0.809285218,7/1/2015,35.875,97.76190476,68.9047619
174,2015,BN,1,8,8/6/2015,0.01035,0.002591667,0.002175,8.2275,449.625,17.7,292.175,0.015575,0.253166667,2.705,46,6/3/2015,3,6,1500,3.176091259,2830,0.809285218,8/1/2015,64.5,151.9,179.15
175,2015,BN,1,9,9/11/2015,0.013775,0.002275,0.003475,8.285,492,14.625,319.65,0.029075,0.30725,5.72,46,6/3/2015,3,6,1500,3.176091259,2830,0.809285218,9/1/2015,100.5,26.52380952,57.04761905
209,2017,DL,1,7,7/11/2017,0.01275,0.02725,0.0081,8.22,363.45,18.6,236.25,0.024,0.2595,2.29,75,6/14/2017,14,6,1560,3.193124598,266,1.803353999,7/1/2017,27.25,53.1,105.9761905
210,2017,DL,1,8,8/11/2017,0.013341667,0.133991667,0.00595,8.1775,392.475,17.3,255.125,0.020433333,0.395083333,1.795,75,6/14/2017,14,6,1560,3.193124598,266,1.803353999,8/1/2017,58.83333333,99.56190476,190.5857143
211,2017,DL,1,9,9/7/2017,0.012016667,0.226691667,0.0036,8.16,446.3,13.325,290.075,0.017358333,0.521833333,1.75,75,6/14/2017,14,6,1560,3.193124598,266,1.803353999,9/1/2017,85.5,61.25238095,76.86666667
256,2020,DL,1,9,9/10/2020,0.02,0.083333333,0.007666667,8.1275,465.025,14.675,,0.015,0.274166667,1.865,78,6/19/2020,19,6,1590,3.201397124,266,1.81484064,9/1/2020,83.16666667,38.15952381,101.8771429
257,2020,DL,1,7,7/22/2020,,0.016,0.006,8.47,364.05,19.1,,0.023,0.17,3.44,78,6/19/2020,19,6,1590,3.201397124,266,1.81484064,7/1/2020,33.83333333,33.006,103.0286667
258,2020,DL,1,8,8/12/2020,,0.0465,0.0065,8.2925,404.35,17.85,,0.02,0.2325,2.9325,78,6/19/2020,19,6,1590,3.201397124,266,1.81484064,8/1/2020,54.5,75.960625,274.349375
270,2021,BN,1,7,7/15/2021,0.03,0.005,0.005,8.67,548.7,21.65,,0.0175,0.23,2.61,52,5/27/2021,27,5,1650,3.217483944,2830,0.835409038,7/1/2021,49.83333333,137.1363636,186.2727273
271,2021,BN,1,8,8/16/2021,0.025,0.005,0.005,8.6625,531.075,20.775,,0.01825,0.215,3.6025,52,5/27/2021,27,5,1650,3.217483944,2830,0.835409038,8/1/2021,81.66666667,96.42857143,185
272,2021,BN,1,9,9/12/2021,0.02,,8.00E-04,8.5525,520.925,15.925,,0.01925,0.19,4.6275,52,5/27/2021,27,5,1650,3.217483944,2830,0.835409038,9/1/2021,108.6666667,66.61904762,185.7619048
200,2017,GR,1,7,7/11/2017,0.0135,0.0025,0.0151,8.235,398.05,19,258.7,0.03585,0.2845,2.15,117,6/14/2017,14,6,1840,3.264817823,270,1.89591132,7/1/2017,27.25,27.72857143,34
201,2017,GR,1,8,8/9/2017,0.013016667,0.038425,0.009825,8.2325,435.5,17.6,283.05,0.026625,0.30275,1.5125,117,6/14/2017,14,6,1840,3.264817823,270,1.89591132,8/1/2017,56.88888889,167.6380952,116.2428571
202,2017,GR,1,9,9/7/2017,0.013116667,0.127575,0.007725,8.23,480.025,13.55,312,0.0262,0.422,1.77,117,6/14/2017,14,6,1840,3.264817823,270,1.89591132,9/1/2017,85.5,139.9227273,77.34090909
120,2011,DL,1,8,8/9/2011,0.014941667,0.067745833,0.026466667,8.275,281.1166667,15.75,182.8666667,0.05665,0.293875,7.693333333,69,6/14/2011,14,6,1960,3.292256071,266,1.945919238,8/1/2011,56,16.23809524,66.19047619
121,2011,DL,1,9,9/10/2011,0.012966667,0.101858333,0.021416667,8.395833333,346.275,13.95833333,225.2583333,0.039675,0.31775,3.465833333,69,6/14/2011,14,6,1960,3.292256071,266,1.945919238,9/1/2011,88,11.11111111,44.76470588
100,2010,GR,1,9,9/9/2010,0.00955,0.024083333,0.027883333,8.355,413.6666667,17.33333333,219.6666667,0.063083333,0.322166667,13.26333333,110,6/18/2010,18,6,1980,3.29666519,270,1.942825561,9/1/2010,83,59.95,119.4666667
101,2010,GR,1,8,8/6/2010,0.010775,0.0162875,0.031766667,8.173333333,363.6666667,19.7,194.1333333,0.071154167,0.334666667,13.64833333,110,6/18/2010,18,6,1980,3.29666519,270,1.942825561,8/1/2010,49,67.80952381,64.14782609
248,2020,GR,1,8,8/11/2020,,0.017,0.01025,8.4425,406.3,18.825,,0.023,0.21,4.0075,120,6/9/2020,9,6,2040,3.309630167,270,1.962255106,8/1/2020,63.66666667,139.6645,105.9665
249,2020,GR,1,9,9/10/2020,0.02,0.0265,0.012583333,8.32,468.8,15.15,,0.021166667,0.245,3.16,120,6/9/2020,9,6,2040,3.309630167,270,1.962255106,9/1/2020,93.16666667,66.27791667,147.9741667
287,2022,BN,1,7,7/18/2022,,0.021,0.0225,8.395,441,22.05,,0.06,0.21,8.14,53,6/13/2022,13,6,2170,3.336459734,2830,0.915287995,7/1/2022,35.75,62.61904762,66.88216667
288,2022,BN,1,8,8/14/2022,0.013333333,0.013,0.013083333,8.435,480.45,22.225,,0.039666667,0.193333333,6.265,53,6/13/2022,13,6,2170,3.336459734,2830,0.915287995,8/1/2022,62.5,39.71428571,145.048281
289,2022,BN,1,9,9/10/2022,0.013333333,0.005,0.002558333,8.435,525.9,19.475,,0.017916667,0.198333333,4.21,53,6/13/2022,13,6,2170,3.336459734,2830,0.915287995,9/1/2022,89.5,43.23809524,87.89594762
132,2012,BN,1,7,7/24/2012,0.008898333,0.002898333,0.013656667,8.395,361.525,16.88333333,235.0583333,0.02733,0.265583333,3.64,43,4/28/2012,28,4,2180,3.338456494,2830,0.916691813,7/1/2012,87.5,122.7619048,216.1428571
133,2012,BN,1,9,9/4/2012,0.00976,0.00576,0.004168333,8.270833333,464.475,15.225,302.0333333,0.017375833,0.2504575,2.57,43,4/28/2012,28,4,2180,3.338456494,2830,0.916691813,9/1/2012,129.75,71.28571429,167.85
225,2018,DL,1,8,8/8/2018,0.01545,0.073625,0.0121,8.1725,356.025,15.75,231.4,0.0375,0.3265,3.76,76,6/22/2018,22,6,2180,3.338456494,266,2.016159805,8/1/2018,47.25,43.48461538,75.8
226,2018,DL,1,9,9/7/2018,0.017241667,0.1151,0.0067,8.1675,426.725,12.725,277.425,0.029016667,0.371,2.8175,76,6/22/2018,22,6,2180,3.338456494,266,2.016159805,9/1/2018,77.5,28.5952381,74.23333333
219,2018,GR,1,8,8/11/2018,0.01545,0.045708333,0.013991667,8.3925,382.975,17.35,248.95,0.040658333,0.330666667,3.3775,118,6/20/2018,20,6,2450,3.389166084,270,2.085774915,8/1/2018,52.08333333,58.51875,94.70625
220,2018,GR,1,9,9/7/2018,0.02215,0.077583333,0.007766667,8.395,434.7,14.475,282.575,0.029983333,0.352666667,2.6475,118,6/20/2018,20,6,2450,3.389166084,270,2.085774915,9/1/2018,79.5,69.89,229.275
114,2011,GR,1,8,8/9/2011,0.013466667,0.052133333,0.0295,8.348333333,298.05,16.2,193.8,0.0637,0.3005,7.765,111,6/10/2011,10,6,2560,3.408239965,270,2.116534736,8/1/2011,60,13,50.66666667
115,2011,GR,1,9,9/10/2011,0.0135,0.0611,0.023575,8.505833333,357.8083333,14.35,232.5916667,0.041933333,0.30475,3.103333333,111,6/10/2011,10,6,2560,3.408239965,270,2.116534736,9/1/2011,92,16.66666667,65.26666667
160,2014,BN,1,8,8/14/2014,0.01765,0.004558333,0.020308333,8.2075,463.375,18.525,301.275,0.039866667,0.238416667,4.925,45,3/11/2014,11,3,2620,3.418301291,2830,0.974626656,8/1/2014,156.6818182,79.19767442,129.372093
