"","date_yearmon","Site","Ammonia","Nitrate + Nitrite","Orthophosphate","pH","Specific conductance","Temperature, water","Total dissolved solids","Total Phosphorus, mixed forms","Total Nitrogen, mixed forms","Turbidity","Weight","Chlorophyll a, corrected for pheophytin","ActivityStartDate"
"496",Jun 2003,"Clark Fork River at Bonita",0.02,0.0405,0.029,7.855,360.5,14.8,192.6,0.072,0.35,9.66,NA,NA,2003-06-16
"497",Jul 2003,"Clark Fork River at Bonita",0.02,0.00466666666666667,0.0123333333333333,8.085,516.75,19.8,274.25,0.026,0.333333333333333,1.59,NA,NA,2003-07-15
"498",Aug 2003,"Clark Fork River at Bonita",0.01,0.005,0.0035,7.93333333333333,543,18.0666666666667,288,0.0166666666666667,0.266666666666667,2.94333333333333,NA,NA,2003-08-11
"499",Sep 2003,"Clark Fork River at Bonita",0.01,0.0035,0.00633333333333333,8.23333333333333,561.333333333333,14,298.333333333333,0.0316666666666667,0.366666666666667,6.56333333333333,NA,NA,2003-09-15
"500",May 2004,"Clark Fork River at Bonita",NA,NA,0.006,8.12,450,12.1,NA,0.019,0.1,1.42,NA,NA,2004-05-17
"501",Jun 2004,"Clark Fork River at Bonita",0.01,NA,0.013,8.21666666666667,425.666666666667,15.1333333333333,NA,0.05325,0.5,8.14666666666667,NA,NA,2004-06-11
"502",Jul 2004,"Clark Fork River at Bonita",0.02,0.028,0.0105,8.3,515.5,19.3,NA,0.0325,0.45,3.825,NA,NA,2004-07-21
"503",Aug 2004,"Clark Fork River at Bonita",NA,0.01,0.011,8.18,546,16.65,NA,0.032,0.3,3.14,NA,NA,2004-08-18
"504",Sep 2004,"Clark Fork River at Bonita",0.01,NA,0.014,8.135,524,12.35,NA,0.0415,0.3,6.21,NA,NA,2004-09-15
"505",Jan 2005,"Clark Fork River at Bonita",NA,0.246,0.01,7.47,543,4,NA,0.0585,0.35,14.9,NA,NA,2005-01-18
"506",Feb 2005,"Clark Fork River at Bonita",NA,0.115,0.004,8.29,490,2.7,NA,0.036,0.3,10.9,NA,NA,2005-02-15
"507",Mar 2005,"Clark Fork River at Bonita",NA,0.008,0.01,8.49,447,8,NA,0.045,0.3,10.1,NA,NA,2005-03-15
"508",Apr 2005,"Clark Fork River at Bonita",NA,0.005,0.009,8.53,479,8.6,NA,0.038,0.3,8.8,NA,NA,2005-04-13
"509",May 2005,"Clark Fork River at Bonita",NA,0.0805,0.028,7.78,481,14,NA,0.112,0.6,33.3,NA,NA,2005-05-16
"510",Jun 2005,"Clark Fork River at Bonita",0.015,0.0445,0.0295,8.13,504,14.05,NA,0.1105,0.45,31.9,NA,NA,2005-06-15
"511",Jul 2005,"Clark Fork River at Bonita",NA,0.0035,0.018,8.52,418,19.3,NA,0.04,0.2,3.8,NA,NA,2005-07-12
"512",Aug 2005,"Clark Fork River at Bonita",0.01,0.00675,0.02825,8.72666666666667,343.333333333333,17.4,NA,0.01625,0.3,1.6,NA,NA,2005-08-17
"513",Sep 2005,"Clark Fork River at Bonita",0.01,0.0055,0.0055,8.48,517.5,11.9,NA,0.031,0.2,5.15,NA,NA,2005-09-20
"514",Oct 2005,"Clark Fork River at Bonita",NA,0.002,0.009,8.4,474,11.8,NA,0.032,0.2,NA,NA,NA,2005-10-15
"515",Nov 2005,"Clark Fork River at Bonita",NA,0.008,0.007,NA,375,1.8,NA,0.025,0.2,NA,NA,NA,2005-11-15
"516",Dec 2005,"Clark Fork River at Bonita",NA,0.179,0.005,NA,534,1.2,NA,0.022,0.2,NA,NA,NA,2005-12-13
"517",Jun 2006,"Clark Fork River at Bonita",0.0166666666666667,0.061,0.03225,8.27333333333333,395,17.8,NA,0.08925,0.475,11.0833333333333,NA,NA,2006-06-14
"518",Jul 2006,"Clark Fork River at Bonita",0.02,0.004,0.0095,8.315,477,21.1,NA,0.0185,0.25,1.685,NA,NA,2006-07-12
"519",Aug 2006,"Clark Fork River at Bonita",0.02,0.00466666666666667,0.007,8.21,536.666666666667,17,NA,0.00966666666666667,0.2,1.36,NA,NA,2006-08-16
"520",Sep 2006,"Clark Fork River at Bonita",0.01,0.003,0.0095,8.48,547.5,14.5,NA,0.023,0.4,5.56,NA,NA,2006-09-23
"521",Jun 2007,"Clark Fork River at Bonita",0.02,0.047,0.02975,NA,NA,NA,NA,0.09875,0.45,NA,NA,NA,2007-06-14
"522",Jul 2007,"Clark Fork River at Bonita",NA,0.01,0.0065,NA,NA,NA,NA,0.013,0.25,NA,NA,NA,2007-07-14
"523",Aug 2007,"Clark Fork River at Bonita",0.015,0.01,0.00566666666666667,NA,NA,NA,NA,0.016,0.3,NA,NA,NA,2007-08-15
"524",Sep 2007,"Clark Fork River at Bonita",0.01,0.007,0.018,NA,NA,NA,NA,0.0325,0.3,NA,NA,NA,2007-09-12
"525",Jun 2008,"Clark Fork River at Bonita",0.02,0.0473333333333333,NA,8.325,272.55,12.95,144.85,0.0953333333333333,0.433333333333333,25.4,NA,NA,2008-06-21
"526",Jul 2008,"Clark Fork River at Bonita",0.02,0.00433333333333333,NA,8.55333333333333,387.666666666667,18.7,206.033333333333,0.048,0.233333333333333,4.40666666666667,NA,NA,2008-07-16
"527",Aug 2008,"Clark Fork River at Bonita",NA,0.00733333333333333,NA,8.62666666666667,491,16.7666666666667,260.666666666667,0.015,0.2,3.26333333333333,103.72,112.75,2008-08-10
"528",Sep 2008,"Clark Fork River at Bonita",0.01,0.005,NA,8.66,470,13.05,249.5,0.038,0.2,5.465,61.085,259.473684210526,2008-09-09
"529",Jun 2009,"Clark Fork River at Bonita",0.00785,0.02801,0.0319,8.35,305,15.9,162.2,0.08696,NA,14.9,NA,NA,2009-06-24
"530",Jul 2009,"Clark Fork River at Bonita",0.00945666666666667,0.0032925,0.02013,8.17666666666667,367.666666666667,18.1333333333333,195.266666666667,0.0530075,0.27525,8.69333333333333,NA,NA,2009-07-11
"531",Aug 2009,"Clark Fork River at Bonita",0.00759,0.00903,0.0112133333333333,8.46,430.333333333333,18.9,228.666666666667,0.0363966666666667,0.261,5.64333333333333,111.7,144.857142857143,2009-08-07
"532",Sep 2009,"Clark Fork River at Bonita",0.0110633333333333,0.00798333333333333,0.0101066666666667,8.37333333333333,472.666666666667,16.7666666666667,251,0.02404,0.246,3.64,56.35,225.619047619048,2009-09-07
"533",Jun 2010,"Clark Fork River at Bonita",0.0202,0.0623,0.0348,7.76,278,15.9,148,0.1121,0.424,29.9,NA,NA,2010-06-23
"534",Jul 2010,"Clark Fork River at Bonita",0.0096,0.007575,0.0222,7.88,363,18.4666666666667,192.8,0.0465,0.24125,4.80666666666667,NA,NA,2010-07-12
"535",Aug 2010,"Clark Fork River at Bonita",0.00765,0.00396666666666667,0.0206,8.07333333333333,436,19.7333333333333,231.333333333333,0.0363,0.217666666666667,2.79,68.6842105263158,61.9894736842105,2010-08-06
"536",Sep 2010,"Clark Fork River at Bonita",0.006,0.0029,0.0118,8.20666666666667,455.666666666667,14.3,245,0.0292,0.234,3.66666666666667,82.45,138.357142857143,2010-09-09
"537",Jun 2011,"Clark Fork River at Bonita",0.0206333333333333,0.0193,0.0342,8.105,256.65,15.4,166.7,0.0974333333333333,NA,27.3,NA,NA,2011-06-26
"538",Jul 2011,"Clark Fork River at Bonita",0.0103333333333333,0.0178666666666667,0.0250666666666667,8.26,299.7,16.7,194.766666666667,0.0685333333333333,0.279333333333333,12.3466666666667,NA,NA,2011-07-20
"539",Aug 2011,"Clark Fork River at Bonita",0.0081,0.00523333333333333,0.0233,8.35666666666667,373.133333333333,17.1,242.666666666667,0.0396,0.182333333333333,2.81666666666667,16.4444444444444,34.875,2011-08-09
"540",Sep 2011,"Clark Fork River at Bonita",0.0062,0.00355,0.0194,8.43,426.6,13.05,277.25,0.04135,0.2355,3.77,17.2,69.5555555555556,2011-09-10
"541",Jun 2012,"Clark Fork River at Bonita",0.01002,0.00302666666666667,0.02354,8.37,314.45,14.5,204.45,0.0416233333333333,0.27776,5.56,NA,NA,2012-06-24
"542",Jul 2012,"Clark Fork River at Bonita",0.00777666666666667,0.00277,0.00377333333333333,8.42,408.6,19.2666666666667,265.666666666667,0.0130366666666667,0.253406666666667,1.72,122.761904761905,216.142857142857,2012-07-24
"543",Aug 2012,"Clark Fork River at Bonita",0.00976,0.00953,0.00586666666666667,8.20666666666667,455.2,17.5,295.966666666667,0.0228266666666667,0.31255,3.65,NA,NA,2012-08-17
"544",Sep 2012,"Clark Fork River at Bonita",NA,0.00199,0.00247,8.335,473.75,12.95,308.1,0.011925,0.188365,1.49,71.2857142857143,167.85,2012-09-04
"545",Jun 2013,"Clark Fork River at Bonita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.0952380952381,99,2013-06-28
"546",Jul 2013,"Clark Fork River at Bonita",0.0180766666666667,0.011175,0.00556,8.3,446.4,19,289.9,0.01542,0.310273333333333,2.075,NA,NA,2013-07-18
"547",Aug 2013,"Clark Fork River at Bonita",0.010305,0.00236,0.00663,8.315,507.5,17.55,329.9,0.014075,0.213695,2.455,60.6190476190476,111.952380952381,2013-08-09
"548",Sep 2013,"Clark Fork River at Bonita",0.011295,0.001225,0.00701,8.28,520,15.75,338,0.028765,0.236165,7.23,63.4761904761905,119.619047619048,2013-09-06
"549",Jul 2014,"Clark Fork River at Bonita",NA,0.00456666666666667,0.0233666666666667,8.165,393.75,18.4,256.1,0.0462333333333333,0.246333333333333,6.715,NA,NA,2014-07-10
"550",Aug 2014,"Clark Fork River at Bonita",0.01765,0.00455,0.01725,8.25,533,18.65,346.45,0.0335,0.2305,3.135,79.1976744186046,129.372093023256,2014-08-14
"551",Sep 2014,"Clark Fork River at Bonita",0.0089,0.0027,0.01185,8.255,504.05,14.15,327.6,0.02975,0.243,4.295,NA,NA,2014-09-10
"552",Jul 2015,"Clark Fork River at Bonita",0.00755,0.00233333333333333,0.00245,8.24,395,19.15,256.75,0.01,0.245333333333333,1.245,97.7619047619048,68.9047619047619,2015-07-08
"553",Aug 2015,"Clark Fork River at Bonita",0.01315,0.00285,0.0019,8.215,504.25,16.25,327.6,0.02115,0.261,4.165,151.9,179.15,2015-08-06
"554",Sep 2015,"Clark Fork River at Bonita",0.0144,0.0017,0.00505,8.355,479.75,13,311.7,0.037,0.3535,7.275,26.5238095238095,57.0476190476191,2015-09-11
"555",Jul 2016,"Clark Fork River at Bonita",0.00803333333333333,0.00163333333333333,0.00123333333333333,8.135,465.15,17.3,302.3,0.0088,0.211666666666667,0.94,178.800810810811,185.351351351351,2016-07-15
"556",Aug 2016,"Clark Fork River at Bonita",0.04065,0.03175,0.0057,8.3,490.3,16,318.8,0.07645,0.5415,34.135,NA,NA,2016-08-17
"557",Sep 2016,"Clark Fork River at Bonita",0.0191,0.0023,0.00775,8.52,496.95,13,323.05,0.04775,0.288,9.525,60.1045454545455,96.2727272727273,2016-09-13
"558",Jul 2017,"Clark Fork River at Bonita",0.01745,0.0047,0.01265,8.26,445.25,19.85,289.55,0.03305,0.225,2.985,24.0823529411765,21.7352941176471,2017-07-14
"559",Aug 2017,"Clark Fork River at Bonita",0.0152,0.00695,0.00195,8.305,507.45,17.85,329.85,0.0147,0.2725,1.64,16.0428571428571,25.8619047619048,2017-08-08
"560",Sep 2017,"Clark Fork River at Bonita",0.0114,0.01095,0.00675,8.225,506.3,12.9,329.2,0.0328,0.3345,5.275,31.1619047619048,58.452380952381,2017-09-07
"561",Jul 2018,"Clark Fork River at Bonita",0.0154,0.005525,0.0175333333333333,8.215,370.45,20.5,240.8,0.0461333333333333,0.241333333333333,5.755,NA,NA,2018-07-18
"562",Aug 2018,"Clark Fork River at Bonita",0.0089,0.0047,0.0118,8.385,447.65,17.95,291.2,0.03365,0.216,2,27.9714285714286,24.3714285714286,2018-08-08
"563",Sep 2018,"Clark Fork River at Bonita",0.03285,0.0043,0.00245,8.455,459.65,15.15,299,0.02185,0.24,2.8,14.6761904761905,65.2285714285714,2018-09-07
"564",Jul 2019,"Clark Fork River at Bonita",0.01365,0.005,0.039,8.58,423.5,18.65,275.275,0.0445,0.185,4.51,72.5528,69.4168888888889,2019-07-16
"565",Aug 2019,"Clark Fork River at Bonita",0.03,0.003,0.0266666666666667,8.63,412,20.75,265.85,0.0276666666666667,0.19,3.61,55.8133333333333,117.65,2019-08-19
"566",Sep 2019,"Clark Fork River at Bonita",0.0166666666666667,0.0235,0.033,8.345,468.05,15.3,305.7,0.1265,0.31,29.325,NA,NA,2019-09-14
"567",Jul 2020,"Clark Fork River at Bonita",NA,NA,0.009,8.195,378.8,19.5,NA,0.027,0.15,5.015,77.2117647058824,55.5865,2020-07-23
"568",Aug 2020,"Clark Fork River at Bonita",NA,NA,0.0085,8.4,481.15,19.55,NA,0.0175,0.205,3.015,27.5190476190476,69.3933333333333,2020-08-11
"569",Sep 2020,"Clark Fork River at Bonita",0.02,NA,0.011,8.23,479.45,13.45,NA,0.025,0.175,5.26,29.922380952381,144.493333333333,2020-09-10
"570",Jul 2021,"Clark Fork River at Bonita",0.03,0.005,0.005,8.67,548.7,21.65,NA,0.0175,0.23,2.61,137.136363636364,186.272727272727,2021-07-15
"571",Aug 2021,"Clark Fork River at Bonita",0.02,NA,NA,8.655,513.45,19.9,NA,0.019,0.2,4.595,96.4285714285714,185,2021-08-16
"572",Sep 2021,"Clark Fork River at Bonita",0.02,NA,8e-04,8.45,528.4,11.95,NA,0.0195,0.18,4.66,66.6190476190476,185.761904761905,2021-09-12
"573",Oct 2021,"Clark Fork River at Bonita",0.01,NA,9e-04,NA,NA,NA,NA,0.022,0.18,NA,NA,NA,2021-10-08
"574",Jul 2022,"Clark Fork River at Bonita",NA,0.021,0.0225,8.395,441,22.05,NA,0.06,0.21,8.14,62.6190476190476,66.8821666666667,2022-07-18
"575",Aug 2022,"Clark Fork River at Bonita",0.0133333333333333,0.005,0.00366666666666667,8.475,519.9,22.4,NA,0.0193333333333333,0.176666666666667,4.39,39.7142857142857,145.048280952381,2022-08-14
"576",Sep 2022,"Clark Fork River at Bonita",NA,NA,0.00145,8.395,531.9,16.55,NA,0.0165,0.22,4.03,43.2380952380952,87.8959476190476,2022-09-10
"577",Jun 1998,"Clark Fork River at Deer Lodge",NA,NA,0.003,NA,NA,NA,NA,0.034,NA,NA,NA,NA,1998-06-10
"578",Jul 1998,"Clark Fork River at Deer Lodge",NA,0.03,0.015,NA,NA,NA,NA,0.059,0.3,NA,NA,NA,1998-07-06
"579",Aug 1998,"Clark Fork River at Deer Lodge",NA,0.02,0.018,NA,NA,NA,NA,0.072,1.1,NA,NA,NA,1998-08-09
"580",Sep 1998,"Clark Fork River at Deer Lodge",NA,0.03,NA,8.22,486,18.8,246,0.012,0.2,NA,NA,NA,1998-09-08
"581",Oct 1998,"Clark Fork River at Deer Lodge",NA,0.03,0.008,7.99,433,8.9,218,0.03,NA,NA,NA,NA,1998-10-05
"582",Nov 1998,"Clark Fork River at Deer Lodge",NA,0.18,0.005,8.37,432,6.2,217,0.02,0.4,NA,NA,NA,1998-11-16
"583",Dec 1998,"Clark Fork River at Deer Lodge",NA,0.36,NA,7.92,501,4.8,253,0.02,0.1,NA,NA,NA,1998-12-14
"584",Jan 1999,"Clark Fork River at Deer Lodge",NA,0.41,0.02,7.46,596,0.8,298,0.032,NA,NA,NA,NA,1999-01-25
"585",Mar 1999,"Clark Fork River at Deer Lodge",NA,0.23,0.003,8.45,295,6.2,154,0.071,0.3,NA,NA,NA,1999-03-01
"586",Apr 1999,"Clark Fork River at Deer Lodge",NA,0.3,0.009,7.78,500,8.4,266,0.068,0.2,NA,NA,NA,1999-04-05
"587",May 1999,"Clark Fork River at Deer Lodge",NA,0.16,0.008,7.435,417.5,15.1,211.5,0.075,0.3,NA,NA,NA,1999-05-11
"588",Jun 1999,"Clark Fork River at Deer Lodge",0.04,0.13,0.009,6.76,227,21,118,0.08,0.3,NA,NA,NA,1999-06-14
"589",Jul 1999,"Clark Fork River at Deer Lodge",0.02,0.02,0.003,7.67,339,24,167,0.036,0.2,NA,NA,NA,1999-07-12
"590",Aug 1999,"Clark Fork River at Deer Lodge",0.03,0.12,0.026,7.44,429,22.6,216,0.064,0.4,NA,NA,NA,1999-08-16
"591",Sep 1999,"Clark Fork River at Deer Lodge",NA,0.11,0.002,NA,NA,NA,NA,0.025,0.3,NA,NA,NA,1999-09-20
"592",Oct 1999,"Clark Fork River at Deer Lodge",0.14,0.25,0.004,7.41,486,8.7,244,0.033,0.3,NA,NA,NA,1999-10-18
"593",Nov 1999,"Clark Fork River at Deer Lodge",0.04,0.25,0.006,NA,562,6.7,281,0.024,0.3,NA,NA,NA,1999-11-15
"594",Dec 1999,"Clark Fork River at Deer Lodge",0.03,0.39,0.004,7.17,508,2.3,253,0.024,0.3,NA,NA,NA,1999-12-13
"595",Jan 2000,"Clark Fork River at Deer Lodge",0.02,0.55,0.004,NA,525,4.6,263,0.039,0.2,NA,NA,NA,2000-01-24
"596",Feb 2000,"Clark Fork River at Deer Lodge",0.03,0.36,0.002,7.7,185,3.4,242,0.045,0.3,NA,NA,NA,2000-02-29
"597",Mar 2000,"Clark Fork River at Deer Lodge",0.02,0.29,0.007,8.28,461,5.9,230,0.022,0.2,NA,NA,NA,2000-03-27
"598",May 2000,"Clark Fork River at Deer Lodge",0.045,0.065,0.009,7.91,491.5,13.75,246,0.0235,0.2,3.02,NA,NA,2000-05-16
"599",Jun 2000,"Clark Fork River at Deer Lodge",0.02,0.04,0.004,8.55,389,NA,196,0.03,0.3,4.5,NA,NA,2000-06-11
"600",Jul 2000,"Clark Fork River at Deer Lodge",0.13,0.09,0.005,8.45,524,18.5,262,0.024,0.3,4.07,NA,NA,2000-07-17
"601",Aug 2000,"Clark Fork River at Deer Lodge",NA,0.15,0.006,8.43,562,18.4,281,0.021,0.2,NA,NA,NA,2000-08-14
"602",Sep 2000,"Clark Fork River at Deer Lodge",0.02,0.09,0.005,8.49,517,16.1,273,0.031,0.3,NA,NA,NA,2000-09-12
"603",Oct 2000,"Clark Fork River at Deer Lodge",NA,0.14,0.005,8.44,598,10.8,299,0.027,0.3,4.45,NA,NA,2000-10-16
"604",Nov 2000,"Clark Fork River at Deer Lodge",0.02,0.95,0.005,8.1,500,3,250,0.031,0.2,2.42,NA,NA,2000-11-20
"605",Dec 2000,"Clark Fork River at Deer Lodge",0.02,0.49,0.008,8.17,567,5.5,284,0.025,0.2,2.6,NA,NA,2000-12-20
"606",Jan 2001,"Clark Fork River at Deer Lodge",0.02,0.57,0.007,8.15,533,3.1,266,0.033,0.3,3.97,NA,NA,2001-01-30
"607",Feb 2001,"Clark Fork River at Deer Lodge",0.07,0.636,0.009,8.26,598,0.5,299,0.031,0.2,NA,NA,NA,2001-02-28
"608",Apr 2001,"Clark Fork River at Deer Lodge",0.015,0.247,0.007,8.5,559,9.3,NA,0.039,0.25,5.79,NA,NA,2001-04-17
"609",May 2001,"Clark Fork River at Deer Lodge",NA,0.08,0.002,8.05,431,14,215,0.025,0.3,NA,NA,NA,2001-05-22
"610",Jun 2001,"Clark Fork River at Deer Lodge",NA,0.0505,0.002,8.65,466,16.5,234,0.025,0.1,NA,NA,NA,2001-06-18
"611",Jul 2001,"Clark Fork River at Deer Lodge",0.02,0.125,0.007,8.65,515,18,258,0.048,0.4,NA,NA,NA,2001-07-17
"612",Aug 2001,"Clark Fork River at Deer Lodge",NA,0.0965,0.0065,8.45,522,18.7,262,0.014,0.2,2.05,NA,NA,2001-08-20
"613",Sep 2001,"Clark Fork River at Deer Lodge",NA,0.082,0.0025,8.95,512,15.7,256,0.009,0.2,1.72,NA,NA,2001-09-24
"614",Oct 2001,"Clark Fork River at Deer Lodge",NA,0.1015,0.003,8.27,54,6.8,272,0.009,0.35,4.4,NA,NA,2001-10-23
"615",Nov 2001,"Clark Fork River at Deer Lodge",0.02,0.2075,0.0035,8.24,541,6.8,271,0.0255,0.3,4.01,NA,NA,2001-11-18
"616",Dec 2001,"Clark Fork River at Deer Lodge",0.02,0.4165,0.006,7.77,523,1.9,268,0.02,0.3,4.04,NA,NA,2001-12-18
"617",Jan 2002,"Clark Fork River at Deer Lodge",0.02,0.435,0.006,8.62,538,1.2,271,0.02,0.2,2.87,NA,NA,2002-01-28
"618",Mar 2002,"Clark Fork River at Deer Lodge",0.02,0.468,0.004,7.98,566,1.7,284,0.037,0.3,6.05,NA,NA,2002-03-04
"619",Apr 2002,"Clark Fork River at Deer Lodge",0.02,0.205,0.003,8.15,534.5,7.75,269,0.0335,0.4,7.315,NA,NA,2002-04-15
"620",May 2002,"Clark Fork River at Deer Lodge",0.02,0.03,0.003,8.05,475,13.5,238,0.026,0.3,6.23,NA,NA,2002-05-28
"621",Jun 2002,"Clark Fork River at Deer Lodge",0.02,0.02,0.003,8.72,363,16.8,184,0.018,0.4,8.61,NA,NA,2002-06-17
"622",Jul 2002,"Clark Fork River at Deer Lodge",0.02,0.06,0.01,8.44,471,21.9,236,0.019,0.1,3.75,NA,NA,2002-07-22
"623",Aug 2002,"Clark Fork River at Deer Lodge",0.02,0.07,0.007,8.75,498,15.8,252,0.019,0.2,1.09,NA,NA,2002-08-19
"624",Sep 2002,"Clark Fork River at Deer Lodge",NA,0.06,0.003,8.31,503,12.6,252,0.022,0.2,1.79,NA,NA,2002-09-24
"625",Jun 2003,"Clark Fork River at Deer Lodge",0.025,0.089,0.0195,7.88,313,16.4,167.9,0.057,0.4,9.72,NA,NA,2003-06-16
"626",Jul 2003,"Clark Fork River at Deer Lodge",0.02,0.1115,0.007,8.095,441,21.2,234.5,0.022,0.5,2.36,NA,NA,2003-07-14
"627",Aug 2003,"Clark Fork River at Deer Lodge",0.02,0.13375,0.00366666666666667,7.98,516.333333333333,19.5666666666667,274.166666666667,0.016,0.275,1.63333333333333,NA,NA,2003-08-11
"628",Sep 2003,"Clark Fork River at Deer Lodge",0.02,0.161333333333333,0.00366666666666667,8.29,504,14.1333333333333,268,0.0186666666666667,0.366666666666667,3.38666666666667,NA,NA,2003-09-15
"629",May 2004,"Clark Fork River at Deer Lodge",0.01,0.114,0.004,8.16,486,11.6,NA,0.026,0.3,3.26,NA,NA,2004-05-17
"630",Jun 2004,"Clark Fork River at Deer Lodge",0.015,0.03175,0.00575,8.38,400.666666666667,16.4666666666667,NA,0.036,0.5,6.45333333333333,NA,NA,2004-06-17
"631",Jul 2004,"Clark Fork River at Deer Lodge",0.02,0.1445,0.0035,8.26,487.5,19.45,NA,0.016,0.35,2.56,NA,NA,2004-07-21
"632",Aug 2004,"Clark Fork River at Deer Lodge",0.01,0.333,0.006,8.28,529,16.05,NA,0.0355,0.35,8.505,NA,NA,2004-08-18
"633",Sep 2004,"Clark Fork River at Deer Lodge",NA,0.1955,0.004,8.225,524.5,12.4,NA,0.026,0.3,5.905,NA,NA,2004-09-15
"634",Jan 2005,"Clark Fork River at Deer Lodge",0.04,0.513,0.017,7.31,440,2.9,NA,0.05,0.5,19.7,NA,NA,2005-01-18
"635",Feb 2005,"Clark Fork River at Deer Lodge",NA,0.375,0.008,7.76,537,1.5,NA,0.04,0.2,6.8,NA,NA,2005-02-15
"636",Mar 2005,"Clark Fork River at Deer Lodge",NA,0.336,0.005,8.3,472,4.7,NA,0.034,0.4,8.3,NA,NA,2005-03-15
"637",Apr 2005,"Clark Fork River at Deer Lodge",NA,0.249,0.007,7.82,589,9.2,NA,0.021,0.2,5.3,NA,NA,2005-04-13
"638",May 2005,"Clark Fork River at Deer Lodge",NA,0.127,0.013,7.9,540,12.3,NA,0.096,0.8,20.8,NA,NA,2005-05-16
"639",Jun 2005,"Clark Fork River at Deer Lodge",0.01,0.051,0.026,8.13,554.5,14.25,NA,0.078,0.45,11.5,NA,NA,2005-06-15
"640",Jul 2005,"Clark Fork River at Deer Lodge",NA,0.014,0.0095,8.32,404.5,18.9,NA,0.024,0.3,2.7,NA,NA,2005-07-12
"641",Aug 2005,"Clark Fork River at Deer Lodge",NA,0.0726666666666667,0.0483333333333333,8.62,453.666666666667,16.8,NA,0.0186666666666667,0.3,1.8,NA,NA,2005-08-16
"642",Sep 2005,"Clark Fork River at Deer Lodge",0.015,0.0593333333333333,0.00333333333333333,8.755,509,10.25,NA,0.0226666666666667,0.15,4.6,NA,NA,2005-09-21
"643",Oct 2005,"Clark Fork River at Deer Lodge",NA,0.01,0.002,8.1,528,9.4,NA,0.022,0.4,NA,NA,NA,2005-10-15
"644",Nov 2005,"Clark Fork River at Deer Lodge",NA,0.225,0.003,NA,425,0,NA,0.042,0.3,NA,NA,NA,2005-11-15
"645",Dec 2005,"Clark Fork River at Deer Lodge",NA,0.433,0.006,NA,570,1,NA,0.02,0.4,NA,NA,NA,2005-12-13
"646",Jun 2006,"Clark Fork River at Deer Lodge",0.04,0.127,0.039,8.21333333333333,360.333333333333,18.1666666666667,NA,0.0883333333333333,0.533333333333333,7.87666666666667,NA,NA,2006-06-14
"647",Jul 2006,"Clark Fork River at Deer Lodge",0.0166666666666667,0.0563333333333333,0.0106666666666667,8.235,430.5,21.2,NA,0.0263333333333333,0.3,2.38,NA,NA,2006-07-10
"648",Aug 2006,"Clark Fork River at Deer Lodge",0.01,0.223666666666667,0.01,8.35333333333333,498.666666666667,16.4666666666667,NA,0.0176666666666667,0.4,1.88,NA,NA,2006-08-16
"649",Sep 2006,"Clark Fork River at Deer Lodge",NA,0.182,0.0115,8.45,521,13.9,NA,0.022,0.4,5.38,NA,NA,2006-09-23
"650",Jun 2007,"Clark Fork River at Deer Lodge",0.02,0.0483333333333333,0.0286666666666667,NA,NA,NA,NA,0.097,0.466666666666667,NA,NA,NA,2007-06-15
"651",Jul 2007,"Clark Fork River at Deer Lodge",NA,0.0396666666666667,0.00866666666666667,NA,NA,NA,NA,0.0143333333333333,0.266666666666667,NA,NA,NA,2007-07-15
"652",Aug 2007,"Clark Fork River at Deer Lodge",0.02,0.0723333333333333,0.009,NA,NA,NA,NA,0.011,0.233333333333333,NA,NA,NA,2007-08-15
"653",Sep 2007,"Clark Fork River at Deer Lodge",0.01,0.0385,0.01,NA,NA,NA,NA,0.0145,0.3,NA,NA,NA,2007-09-12
"654",Jun 2008,"Clark Fork River at Deer Lodge",0.035,0.1315,NA,8.435,291.5,13.85,154.95,0.12,0.5,14.65,NA,NA,2008-06-21
"655",Jul 2008,"Clark Fork River at Deer Lodge",0.02,0.03125,NA,8.63333333333333,324.333333333333,19.4333333333333,172.033333333333,0.04875,0.275,4.32,NA,NA,2008-07-16
"656",Aug 2008,"Clark Fork River at Deer Lodge",0.01,0.056,NA,8.85333333333333,457.333333333333,16.0333333333333,242.666666666667,0.018,0.233333333333333,2.09,79.7714285714286,172.071428571429,2008-08-10
"657",Sep 2008,"Clark Fork River at Deer Lodge",0.01,0.061,NA,8.985,464,11.9,251,0.0255,0.25,3.64,45.145,200.85,2008-09-09
"658",Jun 2009,"Clark Fork River at Deer Lodge",0.01275,0.05018,0.02983,8.27,253,16.5,134.6,0.0776,NA,9.23,NA,NA,2009-06-24
"659",Jul 2009,"Clark Fork River at Deer Lodge",0.008546,0.051734,0.016148,8.44666666666667,313,18.0666666666667,148.166666666667,0.0448375,0.31725,5.7,NA,NA,2009-07-18
"660",Aug 2009,"Clark Fork River at Deer Lodge",0.00959,0.0688733333333333,0.01137,8.76666666666667,409,19.5,217,0.0292233333333333,0.335,3.54666666666667,51.1,181.047619047619,2009-08-07
"661",Sep 2009,"Clark Fork River at Deer Lodge",0.0118866666666667,0.0579166666666667,0.00663,8.50333333333333,434.666666666667,17.6666666666667,231,0.01827,0.289666666666667,2.24,91.8,502.904761904762,2009-09-07
"662",Jun 2010,"Clark Fork River at Deer Lodge",0.0251,0.1294,0.0392,8.09,285,16.4,151.6,0.1128,0.479,13.9,NA,NA,2010-06-23
