,Group.1,Group.2,ActivityStartDate,Manganese,MonitoringLocationName,Zinc,Orthophosphate,Phosphate.phosphorus...retired...use.Total.Phosphorus..mixed.forms,Kjeldahl.nitrogen,Ammonia.nitrogen,Oxidation.reduction.potential..ORP.,Dissolved.oxygen..DO.,Flow,Specific.conductance,Copper,Total.dissolved.solids,Inorganic.nitrogen..nitrate.and.nitrite.....retired...use.Nitrate...Nitrite,Temperature..water,pH,Turbidity,Dissolved.oxygen.saturation,date_yearmon
1577,Jul-13,Clark Fork River below Missoula,7/18/2013,NA,NA,NA,3.34,12.82,NA,13.79,-433.5,8.565,NA,246.9,NA,160.55,22.955,18.95,8.345,2.07,NA,NA
1578,Aug-13,Clark Fork River below Missoula,8/6/2013,NA,NA,NA,3.685,13.125,NA,13.555,-457.7,8.475,NA,271,NA,176.1,31.145,17.4,8.36,2.91,NA,NA
1579,Sep-13,Clark Fork River below Missoula,9/7/2013,NA,NA,NA,7.416666667,17.63,NA,13.63333333,-453.45,9.86,NA,293.2,NA,190.45,42.33,15.25,8.415,2.515,NA,NA
1580,Jul-14,Clark Fork River below Missoula,7/23/2014,NA,NA,NA,8.25,20.25,NA,NA,-129.15,9,NA,228.75,NA,148.85,9.3,16.95,8.13,3.79,NA,NA
1581,Aug-14,Clark Fork River below Missoula,8/14/2014,NA,NA,NA,5.25,14.35,NA,10.65,219.85,8.885,NA,281.85,NA,182.95,21.65,17.45,8.17,1.995,NA,NA
1582,Sep-14,Clark Fork River below Missoula,9/4/2014,NA,NA,NA,8.5,19.25,NA,12.95,232.4,10.12,NA,336,NA,218.4,27.15,13.3,8.085,2.675,NA,NA
1583,Jul-15,Clark Fork River below Missoula,7/5/2015,NA,NA,NA,2.3,13.2,NA,7.5,117.6,7.59,NA,222.05,NA,144.3,11.45,18.9,8.395,1.465,79.7,NA
1584,Aug-15,Clark Fork River below Missoula,8/6/2015,NA,NA,NA,2.1,19.25,NA,12.1,177.15,7.815,NA,281.5,NA,182.95,21.55,16.3,8.345,2.9,79.75,NA
1585,Sep-15,Clark Fork River below Missoula,9/10/2015,NA,NA,NA,2.8,20.65,NA,11,152.2,8.6,NA,300.85,NA,195.6,20.65,13.5,8.435,4.76,82.6,NA
1586,Jul-16,Clark Fork River below Missoula,7/13/2016,NA,NA,NA,1.666666667,13.85,NA,7.9,51.9,7.395,NA,244.85,NA,159.25,11.3,16.75,8.34,1.63,76.05,NA
1587,Aug-16,Clark Fork River below Missoula,8/18/2016,NA,NA,NA,2.4,23.2,NA,9,158.45,7.12,NA,261.45,NA,169.95,31.75,14.75,8.315,6.54,70.25,NA
1588,Sep-16,Clark Fork River below Missoula,9/6/2016,NA,NA,NA,1.7,21.85,NA,16.85,150.3,NA,NA,290.4,NA,188.8,31.25,12.1,8.27,5.39,NA,NA
1589,Jul-17,Clark Fork River below Missoula,7/10/2017,NA,NA,NA,4.266666667,NA,NA,NA,157.55,8.21,NA,249.05,NA,161.8,NA,17.5,8.085,2.265,85.85,NA
1590,Aug-17,Clark Fork River below Missoula,8/9/2017,NA,NA,NA,3.9,NA,NA,NA,248.85,8.39,NA,273,NA,177.45,NA,16.5,8.185,1.785,86,NA
1591,Sep-17,Clark Fork River below Missoula,9/5/2017,NA,NA,NA,4.1,NA,NA,NA,200.55,9.12,NA,303.2,NA,197,NA,12.15,8.09,3.085,84.65,NA
1592,Jul-18,Clark Fork River below Missoula,7/16/2018,NA,NA,NA,8.7,NA,NA,NA,66.8,8.35,NA,252.9,NA,164.4,NA,17.7,8.17,3.2,87.7,NA
1593,Aug-18,Clark Fork River below Missoula,8/9/2018,NA,NA,NA,4.85,NA,NA,NA,2.65,8.935,NA,285.65,NA,185.6,NA,15.8,8.335,2.31,90.15,NA
1594,Sep-18,Clark Fork River below Missoula,9/11/2018,NA,NA,NA,2.266666667,NA,NA,NA,29.95,10.125,NA,310.6,NA,201.85,NA,14.15,8.24,1.89,98.35,NA
1595,Jul-19,Clark Fork River below Missoula,7/11/2019,NA,NA,NA,0.029666667,NA,NA,NA,NA,8.925,NA,272,NA,177.13,NA,16.3,8.485,4.385,91.6,NA
1596,Aug-19,Clark Fork River below Missoula,8/7/2019,NA,NA,NA,0.0135,NA,NA,NA,NA,10.075,NA,299.05,NA,194.35,NA,18.55,8.685,2.9,107.65,NA
1597,Sep-19,Clark Fork River below Missoula,9/7/2019,NA,NA,NA,0.0165,NA,NA,NA,NA,9.255,NA,323.65,NA,211.1,NA,13.6,8.275,9.695,89.4,NA
1598,Jul-20,Clark Fork River below Missoula,7/21/2020,NA,NA,NA,0.005,NA,NA,NA,NA,8.955,NA,253.3,NA,NA,NA,18.55,8.255,4.19,NA,NA
1599,Aug-20,Clark Fork River below Missoula,8/7/2020,NA,NA,NA,0.004,NA,NA,NA,NA,9.295,NA,285.35,NA,NA,NA,17.25,8.265,2.595,NA,NA
1600,Sep-20,Clark Fork River below Missoula,9/6/2020,NA,NA,NA,0.006,NA,NA,NA,NA,9.64,NA,298.35,NA,NA,NA,14.05,8.04,3.38,NA,NA
1601,Jul-21,Clark Fork River below Missoula,7/15/2021,NA,NA,NA,0.001,NA,NA,NA,NA,8.47,NA,262.35,NA,NA,NA,17.6,8.44,2.045,NA,NA
1602,Aug-21,Clark Fork River below Missoula,8/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,8.365,NA,298.7,NA,NA,NA,16.4,8.335,4.49,NA,NA
1603,Sep-21,Clark Fork River below Missoula,9/19/2021,NA,NA,NA,0.002,NA,NA,NA,NA,10.175,NA,323.35,NA,NA,NA,11.95,8.315,3.475,NA,NA
1604,Oct-21,Clark Fork River below Missoula,10/8/2021,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,Jul-22,Clark Fork River below Missoula,7/23/2022,NA,NA,NA,0.004,NA,NA,NA,NA,81,NA,237.6,NA,NA,NA,17.4,7.99,6.14,NA,NA
1606,Aug-22,Clark Fork River below Missoula,8/13/2022,NA,NA,NA,0.0185,NA,NA,NA,NA,80.39333333,NA,266.7,NA,NA,NA,20.4,8.353333333,3.406666667,NA,NA
1607,Sep-22,Clark Fork River below Missoula,9/8/2022,NA,NA,NA,0.0015,NA,NA,NA,NA,11.375,NA,313.25,NA,NA,NA,15.05,8.295,3.055,NA,NA
1608,Aug-07,Clark Fork River below Rock Creek confluence - 29.2,8/20/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609,Jun-98,Clark Fork River below Thompson Falls,6/8/1998,NA,NA,NA,NA,0.013,NA,NA,NA,NA,37100,171,0.001,86,0.03,12.4,8.32,NA,NA,NA
1610,Jul-98,Clark Fork River below Thompson Falls,7/8/1998,NA,NA,NA,0.005,0.052,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1611,Aug-98,Clark Fork River below Thompson Falls,8/11/1998,NA,NA,NA,NA,0.005,NA,NA,-57,NA,17800,168,NA,85,NA,23.8,7.92,NA,NA,NA
1612,Sep-98,Clark Fork River below Thompson Falls,9/10/1998,NA,NA,0.0044,0.004,0.006,NA,NA,-76,12.2,13900,195,NA,98,NA,22.3,8.25,NA,NA,NA
1613,Oct-98,Clark Fork River below Thompson Falls,10/7/1998,NA,NA,NA,0.0105,0.008,0.1,NA,-41,9.7,12800,192,NA,97,0.03,13.2,7.64,NA,NA,NA
1614,Nov-98,Clark Fork River below Thompson Falls,11/18/1998,NA,NA,NA,NA,0.005,0.1,NA,-31,9.4,17500,186,NA,94,0.07,6.9,7.53,NA,NA,NA
1615,Dec-98,Clark Fork River below Thompson Falls,12/16/1998,NA,NA,NA,NA,0.06,0.1,NA,-36,10.2,12200,238,NA,114,0.09,4.3,7.6,NA,NA,NA
1616,Jan-99,Clark Fork River below Thompson Falls,1/27/1999,NA,NA,0.0124,0.002,0.008,NA,NA,-83,10,12900,205,NA,105,0.1,0.7,9.01,NA,NA,NA
1617,Mar-99,Clark Fork River below Thompson Falls,3/3/1999,NA,NA,0.0124,NA,0.012,NA,NA,-40,10,11900,201,NA,103,0.08,5.4,7.95,NA,NA,NA
1618,Apr-99,Clark Fork River below Thompson Falls,4/7/1999,NA,NA,NA,0.003,0.011,NA,NA,-47,10.7,16700,184,0.002,93,0.07,7.9,7.84,NA,NA,NA
1619,May-99,Clark Fork River below Thompson Falls,5/17/1999,NA,NA,0.018166667,0.006,0.054333333,0.7,NA,-41.5,9.4,39550,140,0.013666667,70,0.06,11.9,7.75,NA,NA,NA
1620,Jun-99,Clark Fork River below Thompson Falls,6/16/1999,NA,NA,0.0088,0.004,0.04,0.2,NA,-5,12.6,48400,146,0.005,70,0.03,18.9,7.29,NA,NA,NA
1621,Jul-99,Clark Fork River below Thompson Falls,7/14/1999,NA,NA,0.0021,NA,0.014,NA,NA,-13,10.3,27600,189,0.001,95,0.02,19.9,7.26,NA,NA,NA
1622,Aug-99,Clark Fork River below Thompson Falls,8/17/1999,NA,NA,8.00E-04,NA,0.0095,0.1,0.01,14,8.4,14700,NA,0.002,NA,NA,22.3,6.95,NA,93,NA
1623,Sep-99,Clark Fork River below Thompson Falls,9/22/1999,NA,NA,0.00055,NA,0.0075,0.2,0.05,-13,NA,9600,197,0.004,99,0.03,18.6,7.23,NA,NA,NA
1624,Oct-99,Clark Fork River below Thompson Falls,10/20/1999,NA,NA,9.00E-04,0.001,0.008,0.2,0.09,2,11.2,9000,204,0.002,106,0.03,8.9,6.95,NA,102,NA
1625,Nov-99,Clark Fork River below Thompson Falls,11/17/1999,NA,NA,7.00E-04,NA,0.007,NA,NA,-39,11.4,17500,183,0.002,92,0.03,8,7.69,NA,99,NA
1626,Dec-99,Clark Fork River below Thompson Falls,12/15/1999,NA,NA,NA,NA,0.003,0.2,0.01,14,NA,18800,192,0.002,96,0.05,4.1,6.79,NA,NA,NA
1627,Jan-00,Clark Fork River below Thompson Falls,1/26/2000,NA,NA,NA,0.001,0.004,NA,0.02,-54,10.7,12400,202,0.003,103,0.06,5.3,8,NA,92,NA
1628,Mar-00,Clark Fork River below Thompson Falls,3/14/2000,NA,NA,0.0013,NA,0.0075,0.1,0.025,-77.5,11.05,13300,178,0.003,89.5,0.03,7.2,8.445,NA,98.5,NA
1629,May-00,Clark Fork River below Thompson Falls,5/15/2000,NA,NA,0.002366667,NA,0.015333333,0.15,0.035,-44.5,10.45,35250,170,0.0015,85,0.043333333,14.65,7.885,6.21,103.5,NA
1630,Jun-00,Clark Fork River below Thompson Falls,6/12/2000,NA,NA,0.00075,0.002,0.007,0.1,0.01,-56,NA,29300,155,NA,77,0.02,16.6,8.05,2.92,NA,NA
1631,Jul-00,Clark Fork River below Thompson Falls,7/18/2000,NA,NA,0.00515,0.0015,0.007,0.1,0.02,-70,7.8,17600,176,NA,88,0.01,21.1,8.39,2.24,95,NA
1632,Aug-00,Clark Fork River below Thompson Falls,8/15/2000,NA,NA,0.004,0.0015,0.006,0.2,NA,-80,8.2,9000,189,NA,94,NA,22.5,8.47,NA,109,NA
1633,Sep-00,Clark Fork River below Thompson Falls,9/13/2000,NA,NA,NA,NA,0.006,0.1,0.09,-83,9.6,8200,202,NA,101,NA,19.3,8.7,1.14,115,NA
1634,Oct-00,Clark Fork River below Thompson Falls,10/17/2000,NA,NA,0.0048,NA,0.005,0.1,NA,-78,10.4,8700,217,NA,108,0.03,14,8.5,0.95,113,NA
1635,Nov-00,Clark Fork River below Thompson Falls,11/21/2000,NA,NA,5.00E-04,0.003,0.004,NA,0.02,-75,12.1,11300,170,NA,85,0.02,2.5,8.37,0.95,100,NA
1636,Dec-00,Clark Fork River below Thompson Falls,12/21/2000,NA,NA,0.0013,NA,0.003,NA,NA,-67,11,14500,188,NA,94,0.07,2.6,8.32,1.27,88,NA
1637,Jan-01,Clark Fork River below Thompson Falls,1/31/2001,NA,NA,8.00E-04,0.002,0.004,NA,0.02,-72,10.9,8200,102,NA,51,0.05,3.8,8.38,1.13,89,NA
1638,Mar-01,Clark Fork River below Thompson Falls,3/1/2001,NA,NA,NA,NA,0.006,0.2,0.06,-74,NA,5800,228,NA,NA,0.037,5.6,8.37,NA,NA,NA
1639,Apr-01,Clark Fork River below Thompson Falls,4/14/2001,NA,NA,0.001,0.002,0.0135,0.1,NA,-78.5,12.3,7950,209.5,NA,NA,0.022,10.15,8.455,2.64,116,NA
1640,May-01,Clark Fork River below Thompson Falls,5/23/2001,NA,NA,NA,0.001,0.018,0.2,NA,-55,7.83,22700,157,0.001,78,0.034,14.8,8.01,NA,83,NA
1641,Jun-01,Clark Fork River below Thompson Falls,6/20/2001,NA,NA,0.00115,0.002,0.0145,NA,0.01,-74,12.54,21300,170,0.001,85,NA,16.3,8.08,NA,121,NA
1642,Jul-01,Clark Fork River below Thompson Falls,7/22/2001,NA,NA,NA,0.003,0.013,0.2,0.02,65.2,NA,8100,200,NA,101,0.008,20.6,8.25,NA,NA,NA
1643,Aug-01,Clark Fork River below Thompson Falls,8/22/2001,NA,NA,NA,0.002,0.013,0.2,NA,76.8,7.5,6600,192,NA,96,0.007,21,8.49,2.83,83,NA
1644,Sep-01,Clark Fork River below Thompson Falls,9/26/2001,NA,NA,NA,0.001,0.005,NA,NA,76.9,9.4,5500,199,NA,100,0.007,16.9,8.25,1.87,96,NA
1645,Oct-01,Clark Fork River below Thompson Falls,10/25/2001,NA,NA,0.0153,NA,0.006,0.2,0.05,122.2,11.53,6600,209,0.001,110,0.024,8.4,9.81,2.01,98,NA
1646,Nov-01,Clark Fork River below Thompson Falls,11/20/2001,NA,NA,NA,0.001,0.004,NA,0.05,81.9,12.02,6600,207,0.001,106,0.017,7.3,8.5,1.01,108,NA
1647,Dec-01,Clark Fork River below Thompson Falls,12/20/2001,NA,NA,NA,0.002,NA,NA,0.01,51.5,11.23,10100,205,0.001,104,0.027,2.2,7.92,2.33,83,NA
1648,Jan-02,Clark Fork River below Thompson Falls,1/30/2002,NA,NA,NA,NA,0.004,NA,NA,-104.6,10.46,11500,190,NA,95,0.038,1.4,9.05,0.56,77,NA
1649,Mar-02,Clark Fork River below Thompson Falls,3/6/2002,NA,NA,NA,0.001,0.005,NA,0.01,-74.1,10.72,8700,191,NA,96,0.043,1.8,8.32,3.74,79,NA
1650,Apr-02,Clark Fork River below Thompson Falls,4/9/2002,NA,NA,0.0022,0.002,0.0165,0.25,0.015,-76.45,11.365,12450,178,0.002,98,0.0435,9.05,8.255,3.815,93.5,NA
1651,May-02,Clark Fork River below Thompson Falls,5/15/2002,NA,NA,0.0034,0.003,0.0295,0.2,0.03,-54.4,10.12,37525,143,0.0015,71.5,0.0365,11.35,7.585,19.935,93,NA
1652,Jun-02,Clark Fork River below Thompson Falls,6/19/2002,NA,NA,6.00E-04,0.003,0.023,NA,0.04,-63.9,6.05,69380,140,NA,70,0.04,13.6,8.1,25.9,61,NA
1653,Jul-02,Clark Fork River below Thompson Falls,7/24/2002,NA,NA,NA,0.002,0.0035,NA,NA,-63.1,NA,19700,173,0.001,87,0.01,23.3,8.1,5.9,NA,NA
1654,Aug-02,Clark Fork River below Thompson Falls,8/21/2002,NA,NA,NA,NA,0.004,NA,0.02,-90.2,7.65,12450,181,NA,91,0.03,20.4,8.87,1.81,86,NA
1655,Sep-02,Clark Fork River below Thompson Falls,9/25/2002,NA,NA,NA,NA,0.004,NA,NA,-74.6,NA,7820,194,NA,97,0.02,16,8.1,1.17,NA,NA
1656,Apr-03,Clark Fork River below Thompson Falls,4/20/2003,NA,NA,0.0046,0.006,0.03,0.2,0.07,7,NA,NA,164,0.002,82,0.056,11.3,6.83,7.2,NA,NA
1657,May-03,Clark Fork River below Thompson Falls,5/14/2003,NA,NA,0.0022,NA,0.019,0.2,0.07,-25.2,NA,NA,172.3,0.002,86.3,0.031,11.4,7.3,5.84,NA,NA
1658,Jun-03,Clark Fork River below Thompson Falls,6/18/2003,NA,NA,0.0025,NA,0.018,0.2,0.07,-30,8.7,NA,153,0.002,78,0.03,20.3,7.46,7.7,96,NA
1659,Jul-03,Clark Fork River below Thompson Falls,7/16/2003,NA,NA,0.00105,0.003,0.0065,NA,NA,-19.6,8.6,NA,186,0.001,93,0.0085,22.4,7.27,1.6,98,NA
1660,Aug-03,Clark Fork River below Thompson Falls,8/10/2003,NA,NA,NA,NA,0.0085,0.4,NA,-55.4,NA,NA,192,NA,96,0.003,24.7,7.92,1.7,NA,NA
1661,Sep-03,Clark Fork River below Thompson Falls,9/21/2003,NA,NA,NA,NA,0.004,0.15,0.03,-32.1,10.2,NA,210,NA,105,0.0075,14.6,7.54,NA,104,NA
1662,Oct-03,Clark Fork River below Thompson Falls,10/15/2003,NA,NA,0.0535,NA,0.005,0.1,NA,-76.7,NA,NA,218,NA,109,0.016,10.6,8.4,1.8,NA,NA
1663,Nov-03,Clark Fork River below Thompson Falls,11/13/2003,NA,NA,0.0028,NA,0.004,0.2,NA,-76.1,13.7,NA,209,NA,105,0.0235,6.5,8.4,2.1,110,NA
1664,Dec-03,Clark Fork River below Thompson Falls,12/18/2003,NA,NA,NA,NA,0.005,0.2,NA,-60.2,11.3,NA,205,NA,104,0.035,1.7,8.15,1.7,80,NA
1665,Jan-04,Clark Fork River below Thompson Falls,1/19/2004,NA,NA,NA,NA,NA,0.1,NA,-83.6,10.4,NA,208,NA,NA,0.078,2.5,8.5,2,76,NA
1666,Feb-04,Clark Fork River below Thompson Falls,2/18/2004,NA,NA,0.0366,NA,NA,0.1,0.01,-79.2,12,NA,201,NA,NA,0.015,5.1,8.51,2.2,93,NA
1667,Mar-04,Clark Fork River below Thompson Falls,3/17/2004,NA,NA,0.02465,0.003,0.015,0.1,NA,-52.6,10.4,NA,205,0.001,NA,0.059,8.7,7.94,2.6,102.1,NA
1668,Apr-04,Clark Fork River below Thompson Falls,4/14/2004,NA,NA,0.0023,0.003,0.022,0.2,0.02,NA,NA,NA,NA,0.003,NA,0.053,NA,NA,NA,NA,NA
1669,May-04,Clark Fork River below Thompson Falls,5/12/2004,NA,NA,0.014,0.003,0.0245,0.2,NA,-34.2,NA,NA,142,0.0035,NA,0.042,10.9,7.52,7.1,NA,NA
1670,Jun-04,Clark Fork River below Thompson Falls,6/14/2004,NA,NA,0.00635,0.003,0.019,NA,NA,-33.1,9.6,NA,161,0.0015,NA,0.032,14,7.65,7.1,92,NA
1671,Jul-04,Clark Fork River below Thompson Falls,7/14/2004,NA,NA,0.064,0.003,0.01,NA,NA,-82.1,9.8,NA,179,0.001,NA,0.014,20.5,8.74,2.1,116,NA
1672,Aug-04,Clark Fork River below Thompson Falls,8/22/2004,NA,NA,0.00285,0.002,0.013,0.1,NA,-80.1,7.8,NA,187,NA,NA,NA,23.3,8.65,1.7,91,NA
1673,Sep-04,Clark Fork River below Thompson Falls,9/16/2004,NA,NA,0.006,0.005,0.007,NA,NA,-91.4,9,NA,193,NA,NA,NA,15.4,8.86,1.6,90,NA
1674,Oct-04,Clark Fork River below Thompson Falls,10/19/2004,NA,NA,0.01,0.003,0.007,NA,NA,-65.1,8.8,NA,108,0.002,NA,0.02,10.6,8.3,1.8,88.2,NA
1675,Nov-04,Clark Fork River below Thompson Falls,11/17/2004,NA,NA,0.01595,NA,0.0055,0.1,NA,-86.1,11.7,NA,208,0.001,NA,0.0175,6,8.68,1.5,97,NA
1676,Dec-04,Clark Fork River below Thompson Falls,12/15/2004,NA,NA,0.0155,NA,0.005,NA,NA,-63.7,12.3,NA,198,NA,NA,0.046,4.3,8.29,1.7,95,NA
1677,Jan-05,Clark Fork River below Thompson Falls,1/19/2005,NA,NA,0.02075,NA,0.004,NA,NA,NA,12.6,NA,204,0.002,NA,0.067,1.3,8.03,3,93,NA
1678,Feb-05,Clark Fork River below Thompson Falls,2/16/2005,NA,NA,0.0185,NA,0.007,0.1,NA,NA,13.2,NA,192,0.002,NA,0.016,3,8.34,2.6,101,NA
1679,Mar-05,Clark Fork River below Thompson Falls,3/16/2005,NA,NA,0.0306,0.004,0.008,0.1,NA,NA,8.8,NA,171,0.001,NA,0.032,8,8.13,1.6,89,NA
1680,Apr-05,Clark Fork River below Thompson Falls,4/14/2005,NA,NA,0.0097,0.003,0.007,NA,NA,NA,10.8,NA,177,0.001,NA,0.027,8.3,8,2.6,93,NA
1681,May-05,Clark Fork River below Thompson Falls,5/17/2005,NA,NA,0.0152,0.004,0.029,0.3,NA,NA,9.3,NA,146,0.002,NA,0.046,12.5,7.63,13.3,85,NA
1682,Jun-05,Clark Fork River below Thompson Falls,6/23/2005,NA,NA,0.00765,0.003,0.018,NA,0.01,NA,NA,NA,388,0.0025,NA,0.014,15.7,8.43,7.3,NA,NA
1683,Jul-05,Clark Fork River below Thompson Falls,7/20/2005,NA,NA,0.0062,NA,0.009,NA,NA,NA,NA,NA,160,0.002,NA,0.009,20,8.64,2.1,NA,NA
1684,Aug-05,Clark Fork River below Thompson Falls,8/17/2005,NA,NA,0.00435,0.0205,0.011,0.2,NA,NA,4.4,NA,152,0.0015,NA,0.0025,19.9,9.16,1.1,54,NA
1685,Sep-05,Clark Fork River below Thompson Falls,9/14/2005,NA,NA,0.0053,NA,0.011,NA,NA,NA,NA,NA,210,0.001,NA,0.01,14,8.39,1.4,NA,NA
1686,Oct-05,Clark Fork River below Thompson Falls,10/19/2005,NA,NA,0.0089,NA,0.01,NA,NA,NA,NA,NA,181,0.001,NA,0.014,10.8,8.95,NA,NA,NA
1687,Nov-05,Clark Fork River below Thompson Falls,11/16/2005,NA,NA,0.01145,NA,0.011,NA,NA,NA,NA,NA,162,NA,NA,0.023,4.5,NA,NA,NA,NA
1688,Dec-05,Clark Fork River below Thompson Falls,12/13/2005,NA,NA,0.001,0.002,0.004,NA,NA,NA,NA,NA,195,NA,NA,0.049,2.7,NA,NA,NA,NA
1689,Feb-06,Clark Fork River below Thompson Falls,2/23/2006,NA,NA,0.0011,0.002,0.0095,NA,NA,NA,10.7,NA,168,NA,NA,0.043,1.6,8.35,2.21,NA,NA
1690,Mar-06,Clark Fork River below Thompson Falls,3/14/2006,NA,NA,0.00085,NA,0.006,NA,NA,NA,11.2,NA,169,0.001,NA,0.034,5.2,9.13,1.25,NA,NA
1691,Apr-06,Clark Fork River below Thompson Falls,4/12/2006,NA,NA,0.0055,0.013,0.038,0.3,NA,NA,9.4,NA,147,0.003,NA,0.077,9.2,8.91,12,NA,NA
1692,May-06,Clark Fork River below Thompson Falls,5/16/2006,NA,NA,0.0037,0.003,0.028,0.2,NA,NA,9.8,NA,157,0.002,NA,0.019,14.6,8.27,6.49,NA,NA
1693,Jun-06,Clark Fork River below Thompson Falls,6/13/2006,NA,NA,0.01025,0.005,0.0405,0.3,NA,NA,9.5,NA,130,0.0045,NA,0.04,15.5,8.43,NA,NA,NA
1694,Jul-06,Clark Fork River below Thompson Falls,7/13/2006,NA,NA,0.00295,0.003,0.0095,0.1,NA,NA,8.1,NA,148,0.001,NA,0.0115,21.5,8.86,2.95,NA,NA
1695,Aug-06,Clark Fork River below Thompson Falls,8/16/2006,NA,NA,7.00E-04,NA,0.007,0.1,NA,NA,7.3,NA,157,0.001,NA,0.003,20,9.12,1.52,NA,NA
1696,Sep-06,Clark Fork River below Thompson Falls,9/13/2006,NA,NA,0.00085,0.004,0.009,NA,NA,NA,NA,NA,166,0.001,NA,0.014,19.6,9.2,1.2,NA,NA
1697,Oct-06,Clark Fork River below Thompson Falls,10/11/2006,NA,NA,0.00475,0.002,0.0075,0.1,NA,NA,8.1,NA,168,0.001,NA,0.016,11.9,9.12,1.42,NA,NA
1698,Nov-06,Clark Fork River below Thompson Falls,11/16/2006,NA,NA,0.00795,0.003,0.012,0.2,NA,NA,9.2,NA,145,0.001,NA,0.061,7.4,8.96,5.87,NA,NA
1699,Dec-06,Clark Fork River below Thompson Falls,12/11/2006,NA,NA,0.0013,0.003,0.006,0.2,NA,NA,10.4,NA,162,NA,NA,0.051,1.9,9.68,1.57,NA,NA
1700,Jan-07,Clark Fork River below Thompson Falls,1/17/2007,NA,NA,0.0135,0.004,0.008,0.1,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
1701,Feb-07,Clark Fork River below Thompson Falls,2/20/2007,NA,NA,0.01165,0.004,0.012,0.1,NA,NA,NA,NA,NA,0.0015,NA,0.033,NA,NA,NA,NA,NA
1702,Mar-07,Clark Fork River below Thompson Falls,3/20/2007,NA,NA,0.00805,0.006,0.022,0.2,NA,NA,NA,NA,NA,0.002,NA,0.056,NA,NA,NA,NA,NA
1703,Apr-07,Clark Fork River below Thompson Falls,4/16/2007,NA,NA,0.00665,0.004,0.011,0.2,0.02,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA
1704,May-07,Clark Fork River below Thompson Falls,5/15/2007,NA,NA,0.01725,0.008,0.041,0.3,0.02,NA,NA,NA,NA,0.005,NA,0.044,NA,NA,NA,NA,NA
1705,Jun-07,Clark Fork River below Thompson Falls,6/12/2007,NA,NA,0.012,0.004,0.024,0.2,0.01,NA,NA,NA,NA,0.005,NA,0.042,NA,NA,NA,NA,NA
1706,Jul-07,Clark Fork River below Thompson Falls,7/10/2007,NA,NA,0.001,0.004,0.01,0.1,NA,NA,NA,NA,NA,0.002,NA,0.013,NA,NA,NA,NA,NA
1707,Aug-07,Clark Fork River below Thompson Falls,8/20/2007,NA,NA,0.0023,0.003,0.01,0.1,0.01,NA,NA,NA,NA,0.001,NA,0.024,NA,NA,NA,NA,NA
1708,Sep-07,Clark Fork River below Thompson Falls,9/19/2007,NA,NA,0.0029,0.003,0.011,0.1,0.01,NA,NA,NA,NA,0.001,NA,0.016,NA,NA,NA,NA,NA
1709,Oct-07,Clark Fork River below Thompson Falls,10/23/2007,NA,NA,0.00485,0.006,0.009,0.2,0.01,NA,NA,NA,NA,0.001,NA,0.023,NA,NA,NA,NA,NA
1710,Nov-07,Clark Fork River below Thompson Falls,11/26/2007,NA,NA,0.0032,0.004,0.011,NA,0.02,NA,NA,NA,NA,0.001,NA,0.036,NA,NA,NA,NA,NA
1711,Dec-07,Clark Fork River below Thompson Falls,12/18/2007,NA,NA,0.01395,0.004,0.01,0.1,NA,NA,NA,NA,NA,NA,NA,0.048,NA,NA,NA,NA,NA
1712,Jan-08,Clark Fork River below Thompson Falls,1/15/2008,NA,NA,0.0021,NA,0.005,0.2,NA,-75,NA,NA,202,0.001,NA,0.051,1.6,8.19,1.69,NA,NA
1713,Feb-08,Clark Fork River below Thompson Falls,2/15/2008,NA,NA,0.0055,NA,0.005,0.2,NA,137,11.14,NA,198,0.002,NA,0.066,1.7,8.59,1.43,88,NA
1714,Mar-08,Clark Fork River below Thompson Falls,3/12/2008,NA,NA,0.0026,NA,0.007,0.1,NA,145,11.7,NA,204,0.001,NA,0.035,5.48,8.51,1.74,102.6,NA
1715,Apr-08,Clark Fork River below Thompson Falls,4/17/2008,NA,NA,0.0058,NA,0.015,0.2,NA,NA,NA,NA,201,0.006,NA,0.033,9.7,NA,3.49,NA,NA
1716,May-08,Clark Fork River below Thompson Falls,5/12/2008,NA,NA,0.0364,NA,0.038,0.3,NA,-94,10.6,NA,153,0.036,NA,0.049,9.7,8.29,14.6,89,NA
1717,Jun-08,Clark Fork River below Thompson Falls,6/16/2008,NA,NA,0.0113,NA,0.03,0.2,NA,-4.6,9.4,NA,155,0.006,NA,0.004,12.7,6.89,16.8,91.5,NA
1718,Jul-08,Clark Fork River below Thompson Falls,7/16/2008,NA,NA,0.0028,NA,0.01,0.1,NA,-100,7.2,NA,175,0.002,NA,0.009,18.3,8.39,2.59,90.5,NA
1719,Aug-08,Clark Fork River below Thompson Falls,8/21/2008,NA,NA,0.002,NA,0.008,0.1,NA,-85,7.4,NA,192,0.001,NA,0.015,19.3,7.99,1.12,90.5,NA
