,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
,2012,FH,42200,4.625312451,7590,1.771564185,110,,,,,165.765,,17.74833333,7.663333333,10.085,4.2596,36.69834711,20.2152439,0.491869919,4.166666667,4.033333333,8.2
353,2021,FH,31700,4.501059262,7590,1.610420025,124,,,,,110,,18,10,8,,8.363636364,10,1,,11,11
446,2013,GR,394,2.595496222,270,1.134255305,104,8.265,499.15,14.9,324350,271.77,2.085,18.065,9.04,9.025,1.116846986,18.57284041,9.10910005,0.457851517,16.175,13.66,29.835
349,2022,BN,2170,3.336459734,2830,0.915287995,69,,,,,176.6666667,,18.33333333,13.33333333,5,4.999999999,10.10638298,9.137931038,0.810344828,3.666666667,15.66666666,19.33333333
441,2008,MS,16800,4.225309282,2580,1.867367769,119,8.35,305,12.15,161750,,2.745,18.5,10,8.5,,,,1,,11,11
,2014,FH,41000,4.612783857,7590,1.754610377,115,8.06,280.7,15.5,182600,144.5,1.54,18.5,10.8,7.7,4.512195122,31.89873418,17.95031056,0.49068323,4.1,3.95,8.05
244,2009,MS,17300,4.238046103,2580,1.885712438,29,7.93,205,14.1,109000,,10.9,18.52,10.61333333,7.906666667,1.206121784,,,0.585727776,15.355,21.71,37.065
162,2010,FH,26400,4.421603927,7590,1.515144488,94,8.54,243.3333333,16.3,129333.3333,157.6666667,1.736666667,18.56666667,9.4,9.166666667,5.802083333,21.07575758,16.08843538,0.673469388,3.2,6.6,9.8
360,2019,BN,3640,3.561101384,2830,1.087522663,92,8.58,423.5,18.65,275275,185,4.51,18.65,13.65,5,0.478205128,30.24545455,4.157303371,0.123595506,39,5.5,44.5
380,2012,MS,17600,4.245512668,2580,1.896550104,55,,,,,204.6833333,,18.76,12.90666667,5.853333333,1.967144355,12.86963544,8.534398888,0.602362752,9.536666667,14.44666666,23.98333333
251,2015,BM,15200,4.181843588,2150,1.919265438,36,8.395,222.05,18.9,144300,206.5,1.465,18.95,7.5,11.45,8.239130435,17.20642202,15.64393939,0.825757576,2.3,10.9,13.2
169,2009,BN,3700,3.568201724,2830,1.093465528,106,8.373333333,472.6666667,16.76666667,251000,246,3.64,19.04666666,11.06333333,7.983333333,1.884564643,16.28851675,10.23294509,0.579589573,10.10666667,13.93333333,24.04
253,2013,FH,32700,4.514547753,7590,1.627178981,103,8.445,227,19.5,147550,151.32,1.015,19.135,8.73,10.405,5.420679887,23.99001815,16.73893805,0.609513274,3.53,5.51,9.04
364,2016,BM,16800,4.225309282,2150,1.984374362,68,,,,,163.5,,19.2,7.9,11.3,11.52,11.84404925,11.80505415,0.879663057,1.666666667,12.18333333,13.85
145,2012,BN,2180,3.338456494,2830,0.916691813,111,,,,,312.55,,19.29,9.76,9.53,3.288068182,17.29127358,13.69231892,0.742990654,5.866666667,16.96,22.82666667
308,2022,MS,11800,4.071882007,2580,1.659921055,67,,,,,126.6666667,,19.66666667,16.66666667,3,9.833333335,10.35483872,10.27027028,0.837837838,2,10.33333333,12.33333333
,2008,GR,,,,,,,,,,325,,19.66666667,16.66666667,3,,,,1,,60.25,60.25
409,2015,MS,7010,3.845718018,2580,1.395402309,70,7.985,286,16.5,185900,265,3.005,19.85,17.25,2.6,11.02777778,17.63669065,16.87898089,0.885350318,1.8,13.9,15.7
68,2021,BN,1650,3.217483944,2830,0.835409038,109,,,,,180,,20,20,,25,8.556149733,9.230769231,0.958974359,0.8,18.7,19.5
296,2021,BN,1650,3.217483944,2830,0.835409038,90,,,,,200,,20,20,,,9.473684211,10.52631579,1,,19,19
175,2020,BN,3670,3.564666064,2830,1.090502192,117,,,,,175,,20,20,,1.818181818,11.07142857,7,0.56,11,14,25
476,2021,MS,13500,4.130333768,2580,1.736086477,48,,,,,105,,20,20,,20,6.296296296,7.24137931,0.931034483,1,13.5,14.5
418,2021,MS,13500,4.130333768,2580,1.736086477,81,,,,,120,,20,20,,,6.666666667,8,1,,15,15
95,2019,MS,16200,4.209515015,2580,1.844867171,52,8.58,277.3,17.4,180375,125,5.13,20,15,5,0.816326531,21,4.237288136,0.169491525,24.5,5,29.5
303,2019,MS,16200,4.209515015,2580,1.844867171,88,8.52,303.85,18.05,197655,130,2.195,20,20,,1.428571429,,9.285714286,,14,,14
,2022,FH,35700,4.552668216,7590,1.675491183,63,8.196666667,227.1333333,19.73333333,,,0.96,20,20,,1.081081081,,,0.369318182,18.5,10.83333333,29.33333333
229,2013,FH,32700,4.514547753,7590,1.627178981,127,8.43,248.7,16.3,161800,152.4,1.48,20.16,11.23,8.93,7.384615385,13.56307692,12.21153846,0.78125,2.73,9.75,12.48
273,2016,FH,20800,4.318063335,7590,1.39939565,100,8.365,217,17,141050,152.5,1.08,20.3,13.75,6.55,23.88235294,15.10857143,15.88541667,0.911458333,0.85,8.75,9.6
148,2013,GR,394,2.595496222,270,1.134255305,48,8.47,453.95,18.65,295100,281.795,1.31,20.445,18.94,1.505,1.09243922,20.6030745,8.974363057,0.403980892,18.715,12.685,31.4
89,2015,GR,807,2.906873535,270,1.440466813,66,,,,,212.5,,20.6,14.675,5.925,2.971153846,11.22222222,8.84188627,0.711511789,6.933333333,17.1,24.03333333
,2014,FH,41000,4.612783857,7590,1.754610377,45,7.93,153.35,18.5,99450,159,3.7,20.6,9.4,11.2,3.886792453,16,11.39784946,0.620071685,5.3,8.65,13.95
324,2016,MS,7660,3.88422877,2580,1.437263361,127,8.5,291.65,12.15,189800,139,3.295,20.65,18.9,1.75,18.77272727,9.780991736,10.53030303,0.916666667,1.1,12.1,13.2
,2012,FH,42200,4.625312451,7590,1.771564185,57,8.28,110.95,14.35,72150,178.625,5.595,20.9,7.025,13.875,2.966643009,17.1347094,10.99230769,0.566461538,7.045,9.205,16.25
291,2018,BN,5870,3.768638101,2830,1.275314278,29,,,,,241.3333333,,20.925,15.4,5.525,1.193441065,7.70658508,5.231213872,0.619942197,17.53333333,28.6,46.13333333
187,2022,GR,923,2.965201701,270,1.506419674,67,8.585,466.15,21,,205,1.695,21,15,6,3,6.814814815,6.029411765,0.794117647,7,27,34
522,2022,BN,2170,3.336459734,2830,0.915287995,39,8.395,441,22.05,,,8.14,21,,21,0.933333333,,,0.625,22.5,37.5,60
,2018,FH,59700,4.775974331,7590,1.988737754,69,,,,,133.5,,21.03333333,9.633333333,11.4,6.784946236,11.90123457,10.6374502,0.752988048,3.1,9.45,12.55
,2012,FH,42200,4.625312451,7590,1.771564185,82,8.326666667,174.5333333,19.83333333,113533.3333,169.7933333,1.656666667,21.29,11.94666667,9.343333333,6.570987655,23.83681112,17.92960225,0.657866948,3.24,6.23,9.47
285,2016,BN,1330,3.123851641,2830,0.777478525,109,8.52,496.95,13,323050,288,9.525,21.4,19.1,2.3,2.761290323,6.665,6.031413613,0.837696335,7.75,40,47.75
