,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
111,2009,BN,3700,3.568201724,2830,1.093465528,106,8.373333333,472.6666667,16.76666667,251000,24.04,3.64,10.10666667,11.06333333,7.983333333,1.884564643,9.440654463,10.23294509,0.922574526,19.04666666,226.9533333,246
148,2010,BN,4130,3.615950052,2830,1.134282431,5,7.76,278,15.9,148000,112.1,29.9,34.8,20.2,62.3,2.370689655,3.046387154,3.782337199,0.805424528,82.5,341.5,424
152,2010,BN,4130,3.615950052,2830,1.134282431,54,8.073333333,436,19.73333333,231333.3333,36.3,2.79,20.6,7.65,3.966666667,0.563915858,5.67630854,5.996326906,0.946630934,11.61666667,206.05,217.6666667
153,2010,BN,4130,3.615950052,2830,1.134282431,82,8.206666667,455.6666667,14.3,245000,29.2,3.666666667,11.8,6,2.9,0.754237288,7.70890411,8.01369863,0.961965812,8.9,225.1,234
366,2017,BN,5140,3.710963119,2830,1.220091012,35,,,,,33.05,,12.65,17.45,4.7,1.750988142,6.137670197,6.807866868,0.901555556,22.15,202.85,225
368,2017,BN,5140,3.710963119,2830,1.220091012,90,8.225,506.3,12.9,329200,32.8,5.275,6.75,11.4,10.95,3.311111111,9.516768293,10.19817073,0.933183857,22.35,312.15,334.5
367,2017,BN,5140,3.710963119,2830,1.220091012,62,8.305,507.45,17.85,329850,14.7,1.64,1.95,15.2,6.95,11.35897436,17.03061224,18.53741497,0.918715596,22.15,250.35,272.5
394,2018,BN,5870,3.768638101,2830,1.275314278,29,,,,,46.13333333,,17.53333333,15.4,5.525,1.193441065,4.777637283,5.231213872,0.913294199,20.925,220.4083333,241.3333333
395,2018,BN,5870,3.768638101,2830,1.275314278,52,8.385,447.65,17.95,291200,33.65,2,11.8,8.9,4.7,1.152542373,6.014858841,6.419019316,0.937037037,13.6,202.4,216
396,2018,BN,5870,3.768638101,2830,1.275314278,82,8.455,459.65,15.15,299000,21.85,2.8,2.45,32.85,4.3,15.16326531,9.28375286,10.98398169,0.845208333,37.15,202.85,240
185,2011,BN,7740,3.888740961,2830,1.3984647,40,8.26,299.7,16.7,194766.6667,68.53333333,12.34666667,25.06666667,10.33333333,17.86666667,1.125,3.664396887,4.075875486,0.899045346,28.2,251.1333333,279.3333333
186,2011,BN,7740,3.888740961,2830,1.3984647,68,8.356666667,373.1333333,17.1,242666.6667,39.6,2.816666667,23.3,8.1,5.233333333,0.572246066,4.267676768,4.604377104,0.926873857,13.33333333,169,182.3333333
187,2011,BN,7740,3.888740961,2830,1.3984647,99,8.43,426.6,13.05,277250,41.35,3.77,19.4,6.2,3.55,0.50257732,5.45949214,5.69528416,0.958598726,9.75,225.75,235.5
260,2013,DL,349,2.542825427,266,1.0947491,48,8.425,449.8,19.1,292500,28.665,2.43,12.18,15.905,67.495,6.84729064,9.001221001,11.91069248,0.755726085,83.4,258.02,341.42
263,2013,DL,349,2.542825427,266,1.0947491,104,8.23,496.95,14.9,323050,20.785,4.055,8.675,15.045,198.83,24.65417867,11.45200866,21.74188116,0.52672575,213.875,238.03,451.905
262,2013,DL,349,2.542825427,266,1.0947491,79,,,,,19.13666667,,8.593333333,18.31666667,178.5866667,22.91349884,15.99094234,26.28026476,0.608477216,196.9033334,306.0133333,502.9166667
