,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
68,Jun-12,Clark Fork River above Little Blackfoot,GR,6/23/2012,23,6,2012,10.24,,25.27,24.455,8.435,281.7,14.25,182950,330.82,46.315,5.73
69,Jul-12,Clark Fork River above Little Blackfoot,GR,7/15/2012,15,7,2012,8.8675,,1.78,19.3825,,,,,290.65,48.0775,
612,Jul-12,Clark Fork River above Little Blackfoot,GR,7/18/2012,18,7,2012,,,,,8.383333333,408.8666667,19.06666667,265866.6667,,,2.1
70,Aug-12,Clark Fork River above Little Blackfoot,GR,8/17/2012,17,8,2012,9.4,,,10.06666667,,,,,290.2266667,28.73,
613,Aug-12,Clark Fork River above Little Blackfoot,GR,8/17/2012,17,8,2012,,,,,8.42,410.7333333,16.6,266966.6667,,,2.073333333
71,Sep-12,Clark Fork River above Little Blackfoot,GR,9/8/2012,8,9,2012,,,,3.5,8.465,438.15,11.75,284700,270.37,22.42,2.275
72,Jul-13,Clark Fork River above Little Blackfoot,GR,7/17/2013,17,7,2013,18.94,,1.505,18.715,8.47,453.95,18.65,295100,281.795,31.4,1.31
73,Aug-13,Clark Fork River above Little Blackfoot,GR,8/10/2013,10,8,2013,7.526666667,,1.373333333,16.33666667,,,,,269.29,27.52333333,
614,Aug-13,Clark Fork River above Little Blackfoot,GR,8/14/2013,14,8,2013,,,,,8.385,486.6,16.55,316200,,,1.52
74,Sep-13,Clark Fork River above Little Blackfoot,GR,9/11/2013,11,9,2013,9.04,,9.025,16.175,8.265,499.15,14.9,324350,271.77,29.835,2.085
75,Jul-14,Clark Fork River above Little Blackfoot,GR,7/9/2014,9,7,2014,9.2,,25.2,27.4,8.325,344.7,18,224250,356,57.6,6.215
76,Aug-14,Clark Fork River above Little Blackfoot,GR,8/9/2014,9,8,2014,12.25,,1.65,17.63333333,,,,,263.3333333,31.4,
615,Aug-14,Clark Fork River above Little Blackfoot,GR,8/13/2014,13,8,2014,,,,,8.105,431.2,18.55,280500,,,2.145
77,Sep-14,Clark Fork River above Little Blackfoot,GR,9/10/2014,10,9,2014,7.8,,,9.45,8.465,464.65,13,301900,301.5,29.65,3.205
78,Jul-15,Clark Fork River above Little Blackfoot,GR,7/8/2015,8,7,2015,8.7,,1.65,10.85,8.225,377.7,17.35,245700,317.5,31.35,1.885
79,Aug-15,Clark Fork River above Little Blackfoot,GR,8/8/2015,8,8,2015,14.675,,5.925,6.933333333,,,,,212.5,24.03333333,
616,Aug-15,Clark Fork River above Little Blackfoot,GR,8/12/2015,12,8,2015,,,,,8.21,477.4,14.35,310400,,,1.585
80,Sep-15,Clark Fork River above Little Blackfoot,GR,9/16/2015,16,9,2015,13.9,,26.65,5.5,8.2,482.45,11.5,313650,366,31.6,3.71
81,Jul-16,Clark Fork River above Little Blackfoot,GR,7/13/2016,13,7,2016,21.9,,1.25,23.1,8.15,438.3,15.55,284700,285,43.25,1.37
