ActivityStartDate,MonitoringLocationName,CharacteristicName,ResultMeasureValue
7/16/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,300
7/16/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,300
7/16/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,
7/16/2008,Clark Fork River at Bonita,Nitrate + Nitrite,4
7/16/2008,Clark Fork River above Missoula,Nitrate + Nitrite,5
7/16/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,34
7/16/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,38
7/16/2008,Clark Fork River above Missoula,pH,8.58
7/16/2008,Clark Fork River at Bonita,pH,8.61
7/16/2008,Clark Fork River at Deer Lodge,pH,8.65
7/16/2008,Clark Fork River above Little Blackfoot,pH,8.68
7/16/2008,Clark Fork River above Missoula,Specific conductance,238
7/16/2008,Clark Fork River at Deer Lodge,Specific conductance,324
7/16/2008,Clark Fork River above Little Blackfoot,Specific conductance,367
7/16/2008,Clark Fork River at Bonita,Specific conductance,402
7/16/2008,Clark Fork River above Missoula,"Temperature, water",16.5
7/16/2008,Clark Fork River at Bonita,"Temperature, water",18
7/16/2008,Clark Fork River at Deer Lodge,"Temperature, water",18.7
7/16/2008,Clark Fork River above Little Blackfoot,"Temperature, water",19.5
7/16/2008,Clark Fork River above Missoula,Total dissolved solids,126500
7/16/2008,Clark Fork River at Deer Lodge,Total dissolved solids,171700
7/16/2008,Clark Fork River above Little Blackfoot,Total dissolved solids,195000
7/16/2008,Clark Fork River at Bonita,Total dissolved solids,214000
7/16/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",21
7/16/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",42
7/16/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",42
7/16/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",43
7/16/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",45
7/16/2008,Clark Fork River above Little Blackfoot,Turbidity,2.6
7/16/2008,Clark Fork River at Bonita,Turbidity,3.22
7/16/2008,Clark Fork River above Missoula,Turbidity,3.24
