agency_cd,SITE,datetime,Day,Month,Year,Temp_Mean,10s,Temp Max,10s,Temp Min,10s,Discharge_CFS,10s
USGS,12324200,11/20/1997,20,11,1997,2.5,A,3,A,2,A,323,A
USGS,12324200,11/21/1997,21,11,1997,3,A,3.5,A,2.5,A,323,A
USGS,12324200,11/22/1997,22,11,1997,2.5,A,3,A,2,A,323,A
USGS,12324200,11/23/1997,23,11,1997,1.5,A,2.5,A,1,A,319,A
USGS,12324200,11/24/1997,24,11,1997,3,A,4,A,2,A,326,A
USGS,12324200,11/25/1997,25,11,1997,3,A,3.5,A,2,A,337,A
USGS,12324200,11/26/1997,26,11,1997,1.5,A,2.5,A,1,A,330,A
USGS,12324200,11/27/1997,27,11,1997,1.5,A,2.5,A,1,A,338,A
USGS,12324200,11/28/1997,28,11,1997,2,A,3,A,1.5,A,331,A
USGS,12324200,11/29/1997,29,11,1997,1.5,A,2,A,1,A,332,A
USGS,12324200,11/30/1997,30,11,1997,1.5,A,2,A,1,A,333,A
USGS,12324200,12/1/1997,1,12,1997,2,A,3,A,2,A,334,A
USGS,12324200,12/2/1997,2,12,1997,1.5,A,2,A,1,A,325,A
USGS,12324200,12/3/1997,3,12,1997,0.5,A,1,A,0,A,288,A
USGS,12324200,12/4/1997,4,12,1997,0,A,0.5,A,0,A,303,A
USGS,12324200,12/5/1997,5,12,1997,0,A,0,A,0,A,290,A
USGS,12324200,12/6/1997,6,12,1997,0,A,0,A,0,A,285,A
USGS,12324200,12/7/1997,7,12,1997,0,A,0.5,A,0,A,281,A
USGS,12324200,12/8/1997,8,12,1997,0,A,0.5,A,0,A,278,A
USGS,12324200,12/9/1997,9,12,1997,0.5,A,0.5,A,0,A,281,A
USGS,12324200,12/10/1997,10,12,1997,0,A,0.5,A,0,A,271,A
USGS,12324200,12/11/1997,11,12,1997,0,A,0,A,0,A,268,A
USGS,12324200,12/12/1997,12,12,1997,0,A,0.5,A,0,A,267,A
USGS,12324200,12/13/1997,13,12,1997,0,A,0.5,A,0,A,270,A
USGS,12324200,12/14/1997,14,12,1997,0.5,A,0.5,A,0,A,278,A
USGS,12324200,12/15/1997,15,12,1997,0.5,A,1,A,0.5,A,269,A
USGS,12324200,12/16/1997,16,12,1997,1,A,2,A,0.5,A,279,A
USGS,12324200,12/17/1997,17,12,1997,2,A,2.5,A,1.5,A,295,A
USGS,12324200,12/18/1997,18,12,1997,1.5,A,2,A,0.5,A,299,A
USGS,12324200,12/19/1997,19,12,1997,0.5,A,0.5,A,0,A,274,A
USGS,12324200,12/20/1997,20,12,1997,0,A,0.5,A,0,A,278,A
USGS,12324200,12/21/1997,21,12,1997,0,A,0.5,A,0,A,286,A
USGS,12324200,12/22/1997,22,12,1997,0,A,0.5,A,0,A,273,A
USGS,12324200,12/23/1997,23,12,1997,0,A,0,A,0,A,266,A
USGS,12324200,12/24/1997,24,12,1997,0,A,0,A,0,A,278,A
